timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-08-06 09:57:15,1,0.0900,0.9354,0.9666,0.9666,0.3132,0.0850,0.1310,0.9117,0.9538,0.9519,0.3648,0.1579,108.89
2025-08-06 09:58:59,2,0.1083,0.9388,0.9684,0.9684,0.2998,0.0789,0.0896,0.9349,0.9664,0.9645,0.3031,0.0739,104.68
2025-08-06 10:00:44,3,0.0753,0.9435,0.9709,0.9709,0.2709,0.0652,0.0804,0.9395,0.9688,0.9669,0.2821,0.0557,104.87
2025-08-06 10:02:29,4,0.0764,0.9409,0.9696,0.9696,0.2818,0.0639,0.0714,0.9447,0.9715,0.9696,0.2569,0.0494,104.46
2025-08-06 10:04:13,5,0.0734,0.9437,0.9710,0.9710,0.2573,0.0418,0.0697,0.9459,0.9722,0.9703,0.2491,0.0436,104.49
2025-08-06 10:05:58,6,0.0704,0.9456,0.9720,0.9720,0.2397,0.0431,0.0692,0.9463,0.9724,0.9705,0.2489,0.0418,104.54
2025-08-06 10:07:42,7,0.0731,0.9469,0.9727,0.9727,0.2444,0.0488,0.0635,0.9495,0.9741,0.9722,0.2303,0.0377,104.60
2025-08-06 10:09:27,8,0.0682,0.9488,0.9737,0.9737,0.2238,0.0437,0.0581,0.9531,0.9760,0.9740,0.2139,0.0346,104.34
2025-08-06 10:11:11,9,0.0730,0.9466,0.9726,0.9726,0.2313,0.0482,0.0555,0.9552,0.9771,0.9752,0.2018,0.0330,104.21
2025-08-06 10:12:55,10,0.0741,0.9487,0.9737,0.9737,0.2255,0.0520,0.0538,0.9561,0.9776,0.9757,0.1993,0.0319,104.41
2025-08-06 10:14:41,11,0.0721,0.9467,0.9726,0.9726,0.2174,0.0476,0.0503,0.9586,0.9789,0.9769,0.1869,0.0298,105.27
2025-08-06 10:16:25,12,0.0731,0.9491,0.9739,0.9739,0.2209,0.0504,0.0496,0.9591,0.9791,0.9772,0.1838,0.0292,104.79
2025-08-06 10:18:10,13,0.0763,0.9492,0.9739,0.9739,0.2244,0.0545,0.0466,0.9613,0.9803,0.9783,0.1734,0.0272,104.48
2025-08-06 10:19:54,14,0.0720,0.9432,0.9708,0.9708,0.2203,0.0445,0.0453,0.9623,0.9808,0.9789,0.1677,0.0265,103.87
2025-08-06 10:21:38,15,0.0697,0.9519,0.9754,0.9754,0.1960,0.0490,0.0394,0.9669,0.9832,0.9812,0.1501,0.0224,104.21
2025-08-06 10:23:22,16,0.0728,0.9523,0.9756,0.9756,0.1949,0.0536,0.0363,0.9693,0.9844,0.9825,0.1382,0.0210,104.07
2025-08-06 10:25:07,17,0.0735,0.9522,0.9755,0.9755,0.1933,0.0612,0.0349,0.9704,0.9850,0.9830,0.1323,0.0210,104.44
2025-08-06 10:26:51,18,0.0761,0.9521,0.9755,0.9755,0.1890,0.0589,0.0336,0.9713,0.9855,0.9835,0.1281,0.0208,104.16
2025-08-06 10:28:35,19,0.0757,0.9523,0.9756,0.9756,0.1881,0.0599,0.0323,0.9724,0.9860,0.9841,0.1225,0.0205,104.26
2025-08-06 10:30:19,20,0.0786,0.9521,0.9755,0.9755,0.1850,0.0750,0.0314,0.9732,0.9864,0.9845,0.1196,0.0206,104.25
2025-08-06 10:32:03,21,0.0784,0.9524,0.9756,0.9756,0.1864,0.0748,0.0304,0.9740,0.9868,0.9849,0.1159,0.0204,104.18
2025-08-06 10:33:48,22,0.0791,0.9523,0.9755,0.9755,0.1852,0.0739,0.0299,0.9745,0.9871,0.9851,0.1145,0.0201,104.21
2025-08-06 10:35:32,23,0.0792,0.9522,0.9755,0.9755,0.1865,0.0771,0.0300,0.9743,0.9870,0.9851,0.1143,0.0204,104.10
2025-08-06 10:37:16,24,0.0805,0.9523,0.9756,0.9756,0.1856,0.0760,0.0298,0.9745,0.9871,0.9852,0.1141,0.0204,104.09
2025-08-06 10:39:00,25,0.0794,0.9523,0.9755,0.9755,0.1852,0.0713,0.0297,0.9747,0.9872,0.9852,0.1129,0.0202,103.97
2025-08-06 10:40:44,26,0.0813,0.9523,0.9755,0.9755,0.1861,0.0843,0.0295,0.9748,0.9872,0.9853,0.1126,0.0202,103.91
2025-08-06 10:42:28,27,0.0812,0.9521,0.9755,0.9755,0.1849,0.0893,0.0294,0.9749,0.9873,0.9853,0.1123,0.0203,103.91
2025-08-06 10:44:12,28,0.0803,0.9522,0.9755,0.9755,0.1850,0.0753,0.0293,0.9749,0.9873,0.9854,0.1116,0.0201,104.08
2025-08-06 10:45:56,29,0.0805,0.9522,0.9755,0.9755,0.1843,0.0821,0.0293,0.9750,0.9873,0.9854,0.1119,0.0199,104.24
2025-08-06 10:47:40,30,0.0803,0.9522,0.9755,0.9755,0.1850,0.0987,0.0293,0.9750,0.9873,0.9854,0.1114,0.0201,104.22
