timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-08-11 14:36:12,1,0.0781,0.9419,0.9701,0.9701,0.2705,0.0520,0.1183,0.9199,0.9583,0.9564,0.3441,0.0771,1151.08
2025-08-11 14:41:16,2,0.0697,0.9481,0.9734,0.9734,0.2537,0.0458,0.0771,0.9429,0.9706,0.9687,0.2643,0.0508,304.40
2025-08-11 14:46:18,3,0.0788,0.9387,0.9684,0.9684,0.2500,0.0480,0.0699,0.9474,0.9730,0.9711,0.2413,0.0450,301.86
2025-08-11 14:51:20,4,0.0667,0.9498,0.9743,0.9743,0.2279,0.0455,0.0617,0.9524,0.9756,0.9737,0.2176,0.0402,301.46
2025-08-11 14:56:21,5,0.0624,0.9523,0.9756,0.9756,0.2013,0.0416,0.0566,0.9558,0.9774,0.9755,0.2008,0.0365,301.65
2025-08-11 15:01:23,6,0.0697,0.9497,0.9742,0.9742,0.2215,0.0488,0.0505,0.9599,0.9796,0.9776,0.1807,0.0324,301.74
2025-08-11 15:06:25,7,0.0764,0.9452,0.9718,0.9718,0.2299,0.0522,0.0542,0.9574,0.9782,0.9763,0.1916,0.0344,301.36
2025-08-11 15:11:26,8,0.0626,0.9539,0.9764,0.9764,0.1973,0.0432,0.0475,0.9620,0.9806,0.9787,0.1715,0.0297,301.84
2025-08-11 15:16:28,9,0.0652,0.9536,0.9762,0.9762,0.1932,0.0459,0.0449,0.9638,0.9816,0.9796,0.1625,0.0281,301.34
2025-08-11 15:21:29,10,0.0739,0.9519,0.9753,0.9753,0.1927,0.0551,0.0415,0.9664,0.9829,0.9810,0.1488,0.0260,301.40
2025-08-11 15:26:31,11,0.0748,0.9517,0.9752,0.9752,0.1920,0.0557,0.0389,0.9681,0.9838,0.9819,0.1417,0.0243,301.65
2025-08-11 15:31:32,12,0.0681,0.9558,0.9774,0.9774,0.1728,0.0516,0.0326,0.9730,0.9863,0.9844,0.1214,0.0204,301.64
2025-08-11 15:36:34,13,0.0679,0.9563,0.9777,0.9777,0.1707,0.0516,0.0299,0.9750,0.9873,0.9854,0.1100,0.0191,301.39
2025-08-11 15:41:35,14,0.0704,0.9553,0.9771,0.9771,0.1708,0.0542,0.0288,0.9759,0.9878,0.9859,0.1073,0.0185,300.83
2025-08-11 15:46:36,15,0.0709,0.9555,0.9772,0.9772,0.1686,0.0549,0.0277,0.9767,0.9882,0.9863,0.1033,0.0180,300.98
2025-08-11 15:51:37,16,0.0766,0.9536,0.9763,0.9763,0.1724,0.0609,0.0269,0.9775,0.9886,0.9867,0.0988,0.0176,301.05
2025-08-11 15:56:38,17,0.0769,0.9543,0.9766,0.9766,0.1721,0.0617,0.0260,0.9781,0.9889,0.9870,0.0974,0.0171,301.06
2025-08-11 16:01:39,18,0.0753,0.9549,0.9769,0.9769,0.1695,0.0601,0.0247,0.9792,0.9895,0.9875,0.0931,0.0163,301.15
2025-08-11 16:06:40,19,0.0785,0.9551,0.9771,0.9771,0.1686,0.0639,0.0247,0.9792,0.9895,0.9875,0.0920,0.0164,301.04
2025-08-11 16:11:41,20,0.0786,0.9541,0.9765,0.9765,0.1693,0.0640,0.0244,0.9794,0.9896,0.9877,0.0910,0.0162,301.21
2025-08-11 16:16:42,21,0.0805,0.9530,0.9759,0.9759,0.1722,0.0662,0.0242,0.9795,0.9897,0.9877,0.0900,0.0162,301.24
2025-08-11 16:21:44,22,0.0792,0.9537,0.9763,0.9763,0.1702,0.0646,0.0241,0.9796,0.9897,0.9877,0.0900,0.0162,301.46
2025-08-11 16:26:45,23,0.0799,0.9539,0.9764,0.9764,0.1697,0.0658,0.0239,0.9798,0.9898,0.9878,0.0896,0.0160,300.95
2025-08-11 16:31:46,24,0.0813,0.9528,0.9758,0.9758,0.1708,0.0678,0.0239,0.9798,0.9898,0.9878,0.0891,0.0160,301.23
2025-08-11 16:36:47,25,0.0808,0.9543,0.9766,0.9766,0.1701,0.0667,0.0238,0.9799,0.9898,0.9879,0.0886,0.0159,301.31
2025-08-11 16:41:49,26,0.0808,0.9547,0.9768,0.9768,0.1679,0.0665,0.0239,0.9798,0.9898,0.9878,0.0896,0.0160,301.53
2025-08-11 16:46:51,27,0.0804,0.9534,0.9762,0.9762,0.1703,0.0663,0.0238,0.9799,0.9898,0.9879,0.0899,0.0160,301.98
2025-08-11 16:51:53,28,0.0816,0.9534,0.9761,0.9761,0.1698,0.0678,0.0239,0.9798,0.9898,0.9879,0.0893,0.0160,301.73
2025-08-11 16:56:54,29,0.0781,0.9550,0.9770,0.9770,0.1681,0.0636,0.0237,0.9799,0.9899,0.9879,0.0884,0.0159,301.92
2025-08-11 17:01:56,30,0.0803,0.9542,0.9766,0.9766,0.1694,0.0661,0.0238,0.9799,0.9898,0.9879,0.0891,0.0160,301.75
