timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-08-05 18:36:10,1,0.1365,0.9057,0.9505,0.9505,0.3989,0.0820,0.1628,0.8970,0.9457,0.9457,0.4234,0.0970,36.95
2025-08-05 18:36:47,2,0.1297,0.9084,0.9520,0.9520,0.3939,0.0834,0.1317,0.9073,0.9514,0.9514,0.3766,0.0804,37.06
2025-08-05 18:37:24,3,0.1202,0.9132,0.9546,0.9546,0.3674,0.0710,0.1232,0.9107,0.9532,0.9532,0.3585,0.0748,37.04
2025-08-05 18:38:01,4,0.1185,0.9139,0.9550,0.9550,0.3636,0.0715,0.1189,0.9134,0.9547,0.9547,0.3460,0.0731,37.03
2025-08-05 18:38:38,5,0.1154,0.9147,0.9554,0.9554,0.3413,0.0709,0.1152,0.9151,0.9556,0.9556,0.3375,0.0711,37.05
2025-08-05 18:39:15,6,0.1131,0.9157,0.9560,0.9560,0.3461,0.0689,0.1116,0.9169,0.9566,0.9566,0.3284,0.0687,37.09
2025-08-05 18:39:52,7,0.1157,0.9166,0.9565,0.9565,0.3501,0.0716,0.1084,0.9185,0.9575,0.9575,0.3203,0.0663,36.99
2025-08-05 18:40:29,8,0.1152,0.9175,0.9570,0.9570,0.3395,0.0774,0.1066,0.9193,0.9580,0.9580,0.3161,0.0653,37.37
2025-08-05 18:41:11,9,0.1082,0.9181,0.9573,0.9573,0.3363,0.0679,0.1050,0.9200,0.9583,0.9583,0.3122,0.0639,41.13
2025-08-05 18:41:48,10,0.1106,0.9198,0.9582,0.9582,0.3100,0.0704,0.1005,0.9218,0.9593,0.9593,0.3045,0.0603,37.05
2025-08-05 18:42:27,11,0.1110,0.9215,0.9592,0.9592,0.3147,0.0720,0.0987,0.9224,0.9596,0.9596,0.3002,0.0592,39.70
2025-08-05 18:43:07,12,0.1149,0.9187,0.9577,0.9577,0.3336,0.0778,0.0961,0.9236,0.9603,0.9603,0.2944,0.0572,39.18
2025-08-05 18:43:44,13,0.1074,0.9216,0.9592,0.9592,0.3196,0.0668,0.0958,0.9237,0.9603,0.9603,0.2933,0.0569,37.41
2025-08-05 18:44:21,14,0.1121,0.9226,0.9597,0.9597,0.3084,0.0746,0.0928,0.9249,0.9610,0.9610,0.2877,0.0547,37.43
2025-08-05 18:44:59,15,0.1093,0.9230,0.9600,0.9600,0.3086,0.0689,0.0916,0.9254,0.9612,0.9612,0.2844,0.0539,38.00
2025-08-05 18:45:38,16,0.1084,0.9232,0.9600,0.9600,0.3095,0.0683,0.0903,0.9260,0.9616,0.9616,0.2823,0.0527,38.31
2025-08-05 18:46:15,17,0.1125,0.9233,0.9601,0.9601,0.3076,0.0756,0.0872,0.9273,0.9623,0.9623,0.2763,0.0505,37.61
2025-08-05 18:46:54,18,0.1161,0.9238,0.9604,0.9604,0.3043,0.0806,0.0876,0.9275,0.9624,0.9624,0.2746,0.0511,38.40
2025-08-05 18:47:31,19,0.1151,0.9221,0.9595,0.9595,0.3071,0.0808,0.0858,0.9280,0.9626,0.9626,0.2721,0.0495,37.53
2025-08-05 18:48:10,20,0.1120,0.9250,0.9610,0.9610,0.2917,0.0774,0.0821,0.9297,0.9636,0.9636,0.2664,0.0467,38.68
2025-08-05 18:48:51,21,0.1108,0.9252,0.9612,0.9612,0.2911,0.0761,0.0804,0.9304,0.9640,0.9640,0.2620,0.0455,40.71
2025-08-05 18:49:28,22,0.1172,0.9251,0.9611,0.9611,0.2915,0.0837,0.0792,0.9310,0.9643,0.9643,0.2580,0.0449,37.66
2025-08-05 18:50:07,23,0.1145,0.9247,0.9609,0.9609,0.2935,0.0802,0.0791,0.9312,0.9644,0.9644,0.2574,0.0447,38.50
2025-08-05 18:50:44,24,0.1141,0.9250,0.9610,0.9610,0.2901,0.0803,0.0778,0.9314,0.9645,0.9645,0.2564,0.0436,37.64
2025-08-05 18:51:23,25,0.1134,0.9252,0.9611,0.9611,0.2854,0.0801,0.0771,0.9317,0.9646,0.9646,0.2540,0.0433,38.67
2025-08-05 18:52:11,26,0.1132,0.9252,0.9611,0.9611,0.2883,0.0793,0.0767,0.9320,0.9648,0.9648,0.2525,0.0431,47.82
2025-08-05 18:52:52,27,0.1124,0.9253,0.9612,0.9612,0.2868,0.0784,0.0766,0.9319,0.9648,0.9648,0.2526,0.0430,40.61
2025-08-05 18:53:29,28,0.1160,0.9250,0.9611,0.9611,0.2902,0.0822,0.0761,0.9322,0.9649,0.9649,0.2525,0.0426,37.41
2025-08-05 18:54:08,29,0.1154,0.9253,0.9612,0.9612,0.2873,0.0824,0.0760,0.9322,0.9649,0.9649,0.2528,0.0425,38.70
2025-08-05 18:54:46,30,0.1154,0.9253,0.9612,0.9612,0.2865,0.0822,0.0760,0.9323,0.9649,0.9649,0.2513,0.0426,37.97
