timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
8/6/2025 9:12,1,0.1412,0.9057,0.9505,0.9505,0.4103,0.0953,0.1814,0.8727,0.932,0.932,0.4229,0.1159,40.3
8/6/2025 9:12,2,0.1308,0.9064,0.9509,0.9509,0.4074,0.0812,0.1352,0.9049,0.9501,0.9501,0.3865,0.0825,38
8/6/2025 9:13,3,0.1263,0.9081,0.9518,0.9518,0.3783,0.0734,0.13,0.9062,0.9508,0.9508,0.3765,0.0786,38.62
8/6/2025 9:13,4,0.1225,0.9097,0.9527,0.9527,0.3732,0.0723,0.1249,0.9077,0.9516,0.9516,0.3656,0.0757,38.78
8/6/2025 9:14,5,0.1208,0.9107,0.9533,0.9533,0.3731,0.0708,0.1208,0.9096,0.9527,0.9527,0.3558,0.0732,39.55
8/6/2025 9:15,6,0.1196,0.912,0.954,0.954,0.3622,0.0732,0.1172,0.9112,0.9535,0.9535,0.3486,0.0707,36.62
8/6/2025 9:15,7,0.1163,0.9133,0.9547,0.9547,0.3465,0.0708,0.1159,0.9121,0.954,0.954,0.3445,0.0697,36.65
8/6/2025 9:16,8,0.1161,0.9144,0.9553,0.9553,0.3533,0.0695,0.1131,0.9133,0.9547,0.9547,0.3391,0.0679,36.64
8/6/2025 9:17,9,0.1144,0.9146,0.9554,0.9554,0.3515,0.0685,0.1115,0.9145,0.9553,0.9553,0.3336,0.0667,36.69
8/6/2025 9:17,10,0.1226,0.9122,0.9541,0.9541,0.3587,0.0829,0.109,0.9159,0.9561,0.9561,0.3271,0.0653,36.59
8/6/2025 9:18,11,0.1111,0.9174,0.9569,0.9569,0.3358,0.0661,0.1074,0.9166,0.9565,0.9565,0.3239,0.0642,36.9
8/6/2025 9:18,12,0.1121,0.917,0.9567,0.9567,0.3279,0.0722,0.1078,0.9168,0.9566,0.9566,0.3233,0.0651,36.69
8/6/2025 9:19,13,0.1164,0.9152,0.9557,0.9557,0.3305,0.0689,0.1043,0.9181,0.9573,0.9573,0.3169,0.0624,36.61
8/6/2025 9:20,14,0.115,0.914,0.9551,0.9551,0.3497,0.0742,0.1038,0.9186,0.9576,0.9576,0.3146,0.0621,36.73
8/6/2025 9:20,15,0.1124,0.9176,0.957,0.957,0.329,0.0686,0.1022,0.9194,0.958,0.958,0.3106,0.0614,36.9
8/6/2025 9:21,16,0.1135,0.9171,0.9568,0.9568,0.3415,0.0737,0.1008,0.9201,0.9584,0.9584,0.3076,0.0604,36.68
8/6/2025 9:21,17,0.115,0.9159,0.9561,0.9561,0.3405,0.0728,0.1004,0.9201,0.9584,0.9584,0.3063,0.0599,36.63
8/6/2025 9:22,18,0.1083,0.9202,0.9584,0.9584,0.3203,0.069,0.0961,0.9217,0.9593,0.9593,0.3001,0.0561,36.87
8/6/2025 9:23,19,0.1084,0.9201,0.9584,0.9584,0.321,0.0686,0.0936,0.9226,0.9598,0.9598,0.2957,0.0544,36.71
8/6/2025 9:23,20,0.1087,0.9203,0.9585,0.9585,0.3203,0.0695,0.0927,0.923,0.96,0.96,0.2934,0.0539,36.81
8/6/2025 9:24,21,0.1091,0.9204,0.9586,0.9586,0.3157,0.0713,0.0918,0.9232,0.9601,0.9601,0.2917,0.0534,36.9
8/6/2025 9:25,22,0.1098,0.9201,0.9584,0.9584,0.3182,0.0723,0.0913,0.9236,0.9603,0.9603,0.2899,0.053,36.73
8/6/2025 9:25,23,0.109,0.9201,0.9584,0.9584,0.3195,0.0708,0.0909,0.9236,0.9603,0.9603,0.2888,0.0529,36.72
8/6/2025 9:26,24,0.1107,0.9204,0.9586,0.9586,0.3118,0.0737,0.09,0.9239,0.9605,0.9605,0.2874,0.0523,36.7
8/6/2025 9:26,25,0.1098,0.9206,0.9587,0.9587,0.3135,0.0722,0.0894,0.9243,0.9606,0.9606,0.2853,0.0518,36.89
8/6/2025 9:27,26,0.1102,0.9206,0.9587,0.9587,0.3143,0.0728,0.0895,0.9241,0.9605,0.9605,0.2874,0.0519,36.75
8/6/2025 9:28,27,0.1104,0.9205,0.9586,0.9586,0.3145,0.0731,0.0892,0.9243,0.9607,0.9607,0.286,0.0517,36.75
8/6/2025 9:28,28,0.1102,0.9203,0.9585,0.9585,0.3163,0.0726,0.0892,0.9242,0.9606,0.9606,0.2865,0.0516,36.62
8/6/2025 9:29,29,0.1099,0.9205,0.9586,0.9586,0.3153,0.0722,0.089,0.9243,0.9607,0.9607,0.2858,0.0516,36.73
8/6/2025 9:29,30,0.1108,0.9204,0.9585,0.9585,0.3145,0.0735,0.089,0.9243,0.9607,0.9607,0.285,0.0516,36.66
