timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-08-06 06:35:33,1,0.1011,0.9314,0.9645,0.9645,0.3029,0.0669,0.1379,0.9115,0.9537,0.9537,0.3455,0.0828,129.00
2025-08-06 06:37:40,2,0.0926,0.9386,0.9683,0.9683,0.2619,0.0640,0.0941,0.9362,0.9671,0.9671,0.2626,0.0614,127.46
2025-08-06 06:39:47,3,0.0894,0.9397,0.9689,0.9689,0.2577,0.0613,0.0851,0.9421,0.9702,0.9702,0.2364,0.0566,127.21
2025-08-06 06:41:55,4,0.0855,0.9415,0.9699,0.9699,0.2495,0.0572,0.0815,0.9445,0.9714,0.9714,0.2260,0.0554,127.79
2025-08-06 06:44:03,5,0.0875,0.9419,0.9701,0.9701,0.2432,0.0627,0.0776,0.9465,0.9725,0.9725,0.2168,0.0527,127.62
2025-08-06 06:46:10,6,0.0995,0.9365,0.9672,0.9672,0.2700,0.0705,0.0755,0.9475,0.9731,0.9731,0.2106,0.0514,127.29
2025-08-06 06:48:17,7,0.0879,0.9418,0.9701,0.9701,0.2262,0.0629,0.0714,0.9494,0.9741,0.9741,0.2032,0.0486,127.02
2025-08-06 06:50:25,8,0.0838,0.9429,0.9706,0.9706,0.2277,0.0615,0.0687,0.9508,0.9748,0.9748,0.1969,0.0475,127.60
2025-08-06 06:52:32,9,0.0860,0.9436,0.9710,0.9710,0.2344,0.0608,0.0661,0.9521,0.9754,0.9754,0.1897,0.0458,127.54
2025-08-06 06:54:40,10,0.0883,0.9438,0.9711,0.9711,0.2294,0.0647,0.0631,0.9537,0.9763,0.9763,0.1840,0.0437,127.28
2025-08-06 06:56:47,11,0.0876,0.9410,0.9696,0.9696,0.2325,0.0606,0.0611,0.9545,0.9767,0.9767,0.1786,0.0420,127.25
2025-08-06 06:58:54,12,0.1019,0.9434,0.9709,0.9709,0.2201,0.0813,0.0595,0.9554,0.9772,0.9772,0.1757,0.0405,126.89
2025-08-06 07:01:01,13,0.0904,0.9429,0.9706,0.9706,0.2233,0.0675,0.0587,0.9560,0.9775,0.9775,0.1713,0.0404,127.28
2025-08-06 07:03:08,14,0.0988,0.9446,0.9715,0.9715,0.2132,0.0794,0.0556,0.9573,0.9782,0.9782,0.1649,0.0384,127.39
2025-08-06 07:05:16,15,0.0937,0.9454,0.9719,0.9719,0.2041,0.0748,0.0500,0.9609,0.9801,0.9801,0.1520,0.0346,127.42
2025-08-06 07:07:23,16,0.0966,0.9448,0.9716,0.9716,0.2029,0.0782,0.0476,0.9624,0.9808,0.9808,0.1450,0.0335,127.13
2025-08-06 07:09:30,17,0.0969,0.9450,0.9717,0.9717,0.2030,0.0784,0.0467,0.9630,0.9811,0.9811,0.1425,0.0329,127.09
2025-08-06 07:11:37,18,0.0991,0.9450,0.9717,0.9717,0.1985,0.0813,0.0457,0.9636,0.9815,0.9815,0.1397,0.0322,127.10
2025-08-06 07:13:44,19,0.1020,0.9443,0.9713,0.9713,0.1991,0.0842,0.0451,0.9640,0.9817,0.9817,0.1378,0.0318,127.38
2025-08-06 07:15:51,20,0.0994,0.9437,0.9711,0.9711,0.2000,0.0811,0.0443,0.9645,0.9819,0.9819,0.1366,0.0312,127.01
2025-08-06 07:17:59,21,0.1033,0.9446,0.9715,0.9715,0.1984,0.0862,0.0433,0.9652,0.9823,0.9823,0.1349,0.0304,127.31
2025-08-06 07:20:06,22,0.1022,0.9446,0.9715,0.9715,0.1986,0.0844,0.0431,0.9652,0.9823,0.9823,0.1330,0.0303,127.11
2025-08-06 07:22:13,23,0.1012,0.9441,0.9712,0.9712,0.1991,0.0835,0.0429,0.9653,0.9824,0.9824,0.1325,0.0302,126.93
2025-08-06 07:24:20,24,0.1053,0.9444,0.9714,0.9714,0.1978,0.0882,0.0428,0.9654,0.9824,0.9824,0.1319,0.0302,127.25
2025-08-06 07:26:27,25,0.1053,0.9444,0.9714,0.9714,0.1979,0.0884,0.0428,0.9654,0.9824,0.9824,0.1321,0.0302,127.06
2025-08-06 07:28:34,26,0.1016,0.9441,0.9713,0.9713,0.1988,0.0838,0.0427,0.9654,0.9824,0.9824,0.1316,0.0301,127.11
2025-08-06 07:30:41,27,0.1031,0.9440,0.9712,0.9712,0.1989,0.0856,0.0426,0.9655,0.9825,0.9825,0.1316,0.0300,127.00
2025-08-06 07:32:49,28,0.1023,0.9443,0.9714,0.9714,0.1984,0.0846,0.0426,0.9655,0.9825,0.9825,0.1316,0.0301,127.27
2025-08-06 07:34:56,29,0.1025,0.9443,0.9713,0.9713,0.1970,0.0852,0.0427,0.9654,0.9824,0.9824,0.1316,0.0301,127.00
2025-08-06 07:37:03,30,0.1024,0.9443,0.9714,0.9714,0.1981,0.0847,0.0425,0.9656,0.9825,0.9825,0.1310,0.0300,127.38
