timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,train_loss,train_iou,train_f1,train_accuracy,epoch_time_s
2025-08-01 10:12:46,1,0.1142,0.9273,0.9623,0.9623,0.1809,0.8782,0.9351,0.9351,78.54
2025-08-01 10:14:05,2,0.0918,0.9388,0.9684,0.9684,0.0921,0.9383,0.9681,0.9681,78.81
2025-08-01 10:15:23,3,0.0855,0.9416,0.9699,0.9699,0.0843,0.9426,0.9705,0.9705,78.57
2025-08-01 10:16:42,4,0.0824,0.9435,0.9709,0.9709,0.0801,0.9450,0.9717,0.9717,78.89
2025-08-01 10:18:01,5,0.0801,0.9444,0.9714,0.9714,0.0762,0.9473,0.9729,0.9729,78.65
2025-08-01 10:19:19,6,0.0849,0.9442,0.9713,0.9713,0.0747,0.9482,0.9734,0.9734,78.55
2025-08-01 10:20:38,7,0.0819,0.9446,0.9715,0.9715,0.0724,0.9492,0.9739,0.9739,78.61
2025-08-01 10:21:57,8,0.0861,0.9425,0.9704,0.9704,0.0697,0.9504,0.9746,0.9746,78.51
2025-08-01 10:23:15,9,0.0811,0.9452,0.9718,0.9718,0.0670,0.9517,0.9753,0.9753,78.40
2025-08-01 10:24:34,10,0.0819,0.9467,0.9726,0.9726,0.0653,0.9527,0.9758,0.9758,78.82
2025-08-01 10:25:52,11,0.0838,0.9456,0.9721,0.9721,0.0631,0.9537,0.9763,0.9763,78.40
2025-08-01 10:27:11,12,0.0803,0.9476,0.9731,0.9731,0.0584,0.9563,0.9776,0.9776,78.39
2025-08-01 10:28:29,13,0.0804,0.9474,0.9730,0.9730,0.0564,0.9573,0.9782,0.9782,78.47
2025-08-01 10:29:47,14,0.0820,0.9470,0.9728,0.9728,0.0557,0.9576,0.9784,0.9784,78.27
2025-08-01 10:31:06,15,0.0829,0.9468,0.9727,0.9727,0.0548,0.9580,0.9786,0.9786,78.45
2025-08-01 10:32:25,16,0.0825,0.9466,0.9725,0.9725,0.0542,0.9583,0.9787,0.9787,78.86
2025-08-01 10:33:43,17,0.0830,0.9467,0.9726,0.9726,0.0535,0.9586,0.9789,0.9789,78.59
2025-08-01 10:35:02,18,0.0834,0.9469,0.9727,0.9727,0.0529,0.9590,0.9791,0.9791,78.48
2025-08-01 10:36:20,19,0.0840,0.9467,0.9726,0.9726,0.0532,0.9590,0.9791,0.9791,78.71
2025-08-01 10:37:39,20,0.0838,0.9469,0.9727,0.9727,0.0524,0.9593,0.9792,0.9792,78.40
2025-08-01 10:38:57,21,0.0840,0.9468,0.9727,0.9727,0.0527,0.9591,0.9791,0.9791,78.21
2025-08-01 10:40:16,22,0.0839,0.9469,0.9727,0.9727,0.0529,0.9590,0.9791,0.9791,78.52
2025-08-01 10:41:34,23,0.0845,0.9470,0.9728,0.9728,0.0526,0.9592,0.9792,0.9792,78.31
2025-08-01 10:42:52,24,0.0841,0.9469,0.9727,0.9727,0.0525,0.9592,0.9792,0.9792,78.27
2025-08-01 10:44:11,25,0.0845,0.9469,0.9727,0.9727,0.0526,0.9592,0.9792,0.9792,78.41
2025-08-01 10:45:29,26,0.0846,0.9470,0.9728,0.9728,0.0527,0.9591,0.9791,0.9791,78.74
2025-08-01 10:46:48,27,0.0843,0.9469,0.9727,0.9727,0.0523,0.9594,0.9793,0.9793,78.27
2025-08-01 10:48:06,28,0.0844,0.9469,0.9727,0.9727,0.0524,0.9592,0.9792,0.9792,78.44
2025-08-01 10:49:24,29,0.0844,0.9470,0.9728,0.9728,0.0524,0.9593,0.9792,0.9792,78.34
2025-08-01 10:50:43,30,0.0844,0.9470,0.9728,0.9728,0.0523,0.9593,0.9792,0.9792,78.09
