timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,train_loss,train_iou,train_f1,train_accuracy,epoch_time_s
2025-08-01 10:55:41,1,0.1011,0.9314,0.9645,0.9645,0.1379,0.9115,0.9537,0.9537,123.65
2025-08-01 10:57:45,2,0.0926,0.9386,0.9683,0.9683,0.0941,0.9362,0.9671,0.9671,124.12
2025-08-01 10:59:50,3,0.0894,0.9397,0.9689,0.9689,0.0851,0.9421,0.9702,0.9702,124.69
2025-08-01 11:01:54,4,0.0855,0.9415,0.9699,0.9699,0.0815,0.9445,0.9714,0.9714,124.61
2025-08-01 11:03:59,5,0.0875,0.9419,0.9701,0.9701,0.0776,0.9465,0.9725,0.9725,124.80
2025-08-01 11:06:04,6,0.0995,0.9365,0.9672,0.9672,0.0755,0.9475,0.9731,0.9731,124.56
2025-08-01 11:08:08,7,0.0879,0.9418,0.9701,0.9701,0.0714,0.9494,0.9741,0.9741,124.43
2025-08-01 11:10:12,8,0.0838,0.9429,0.9706,0.9706,0.0687,0.9508,0.9748,0.9748,124.24
2025-08-01 11:12:20,9,0.0860,0.9436,0.9710,0.9710,0.0661,0.9521,0.9754,0.9754,127.44
2025-08-01 11:14:27,10,0.0883,0.9438,0.9711,0.9711,0.0631,0.9537,0.9763,0.9763,127.65
2025-08-01 11:16:35,11,0.0876,0.9410,0.9696,0.9696,0.0611,0.9545,0.9767,0.9767,127.58
2025-08-01 11:18:42,12,0.1019,0.9434,0.9709,0.9709,0.0595,0.9554,0.9772,0.9772,127.19
2025-08-01 11:20:49,13,0.0904,0.9429,0.9706,0.9706,0.0587,0.9560,0.9775,0.9775,127.10
2025-08-01 11:22:57,14,0.0988,0.9446,0.9715,0.9715,0.0556,0.9573,0.9782,0.9782,127.30
2025-08-01 11:25:04,15,0.0937,0.9454,0.9719,0.9719,0.0500,0.9609,0.9801,0.9801,127.30
2025-08-01 11:27:11,16,0.0966,0.9448,0.9716,0.9716,0.0476,0.9624,0.9808,0.9808,127.47
2025-08-01 11:29:19,17,0.0969,0.9450,0.9717,0.9717,0.0467,0.9630,0.9811,0.9811,127.16
2025-08-01 11:31:26,18,0.0991,0.9450,0.9717,0.9717,0.0457,0.9636,0.9815,0.9815,127.07
2025-08-01 11:33:33,19,0.1020,0.9443,0.9713,0.9713,0.0451,0.9640,0.9817,0.9817,127.44
2025-08-01 11:35:40,20,0.0994,0.9437,0.9711,0.9711,0.0443,0.9645,0.9819,0.9819,127.34
2025-08-01 11:37:48,21,0.1033,0.9446,0.9715,0.9715,0.0433,0.9652,0.9823,0.9823,127.60
2025-08-01 11:39:55,22,0.1022,0.9446,0.9715,0.9715,0.0431,0.9652,0.9823,0.9823,127.19
2025-08-01 11:42:02,23,0.1012,0.9441,0.9712,0.9712,0.0429,0.9653,0.9824,0.9824,127.17
2025-08-01 11:44:10,24,0.1053,0.9444,0.9714,0.9714,0.0428,0.9654,0.9824,0.9824,127.28
2025-08-01 11:46:17,25,0.1053,0.9444,0.9714,0.9714,0.0428,0.9654,0.9824,0.9824,127.27
2025-08-01 11:48:24,26,0.1016,0.9441,0.9713,0.9713,0.0427,0.9654,0.9824,0.9824,127.16
2025-08-01 11:50:31,27,0.1031,0.9440,0.9712,0.9712,0.0426,0.9655,0.9825,0.9825,127.30
2025-08-01 11:52:39,28,0.1023,0.9443,0.9714,0.9714,0.0426,0.9655,0.9825,0.9825,127.45
2025-08-01 11:54:46,29,0.1025,0.9443,0.9713,0.9713,0.0427,0.9654,0.9824,0.9824,127.32
2025-08-01 11:56:53,30,0.1024,0.9443,0.9714,0.9714,0.0425,0.9656,0.9825,0.9825,126.96
