timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,epoch_time_s
2025-08-01 00:17:05,1,0.1146,0.9278,0.9626,0.9626,0.3001,0.0844,0.1353,0.9128,0.9544,0.9544,59.76
2025-08-01 00:18:04,2,0.0996,0.9353,0.9666,0.9666,0.2720,0.0734,0.0978,0.9346,0.9662,0.9662,58.83
2025-08-01 00:19:03,3,0.0952,0.9393,0.9687,0.9687,0.2702,0.0673,0.0900,0.9394,0.9688,0.9688,58.98
2025-08-01 00:20:02,4,0.0889,0.9389,0.9685,0.9685,0.2531,0.0635,0.0854,0.9425,0.9704,0.9704,58.69
2025-08-01 00:21:00,5,0.0884,0.9414,0.9698,0.9698,0.2517,0.0636,0.0825,0.9440,0.9712,0.9712,58.86
2025-08-01 00:21:59,6,0.0888,0.9414,0.9698,0.9698,0.2707,0.0584,0.0816,0.9445,0.9714,0.9714,58.85
2025-08-01 00:22:58,7,0.0874,0.9409,0.9696,0.9696,0.2500,0.0626,0.0804,0.9449,0.9717,0.9717,58.65
2025-08-01 00:23:57,8,0.0827,0.9434,0.9709,0.9709,0.2406,0.0568,0.0771,0.9469,0.9727,0.9727,58.89
2025-08-01 00:24:56,9,0.0979,0.9381,0.9681,0.9681,0.2521,0.0750,0.0745,0.9485,0.9736,0.9736,58.68
2025-08-01 00:25:54,10,0.0899,0.9418,0.9700,0.9700,0.2543,0.0654,0.0733,0.9489,0.9738,0.9738,58.71
2025-08-01 00:26:53,11,0.0992,0.9384,0.9682,0.9682,0.2627,0.0771,0.0695,0.9511,0.9750,0.9750,58.77
2025-08-01 00:27:52,12,0.0890,0.9417,0.9700,0.9700,0.2624,0.0608,0.0679,0.9516,0.9752,0.9752,58.80
2025-08-01 00:28:51,13,0.1067,0.9337,0.9657,0.9657,0.2824,0.0740,0.0655,0.9525,0.9757,0.9757,58.72
2025-08-01 00:29:49,14,0.0891,0.9424,0.9703,0.9703,0.2404,0.0646,0.0660,0.9526,0.9757,0.9757,58.80
2025-08-01 00:30:48,15,0.0873,0.9444,0.9714,0.9714,0.2175,0.0683,0.0562,0.9575,0.9783,0.9783,59.01
2025-08-01 00:31:47,16,0.0888,0.9450,0.9717,0.9717,0.2142,0.0697,0.0540,0.9586,0.9789,0.9789,59.01
2025-08-01 00:32:46,17,0.0900,0.9447,0.9716,0.9716,0.2115,0.0719,0.0525,0.9594,0.9793,0.9793,58.77
2025-08-01 00:33:45,18,0.0919,0.9441,0.9713,0.9713,0.2147,0.0736,0.0513,0.9601,0.9796,0.9796,58.76
2025-08-01 00:34:44,19,0.0922,0.9444,0.9714,0.9714,0.2080,0.0750,0.0505,0.9604,0.9798,0.9798,58.71
2025-08-01 00:35:42,20,0.0955,0.9437,0.9710,0.9710,0.2070,0.0792,0.0497,0.9610,0.9801,0.9801,58.72
2025-08-01 00:36:41,21,0.0974,0.9440,0.9712,0.9712,0.2068,0.0817,0.0487,0.9615,0.9804,0.9804,58.69
2025-08-01 00:37:40,22,0.0960,0.9438,0.9711,0.9711,0.2082,0.0795,0.0484,0.9616,0.9804,0.9804,58.70
2025-08-01 00:38:38,23,0.0960,0.9439,0.9711,0.9711,0.2077,0.0796,0.0482,0.9618,0.9805,0.9805,58.68
2025-08-01 00:39:37,24,0.0981,0.9438,0.9711,0.9711,0.2070,0.0819,0.0479,0.9619,0.9806,0.9806,58.73
2025-08-01 00:40:36,25,0.0976,0.9437,0.9710,0.9710,0.2096,0.0808,0.0479,0.9619,0.9806,0.9806,58.75
2025-08-01 00:41:35,26,0.0975,0.9436,0.9710,0.9710,0.2073,0.0816,0.0478,0.9619,0.9806,0.9806,58.78
2025-08-01 00:42:33,27,0.0976,0.9435,0.9709,0.9709,0.2085,0.0810,0.0476,0.9620,0.9806,0.9806,58.70
2025-08-01 00:43:32,28,0.0966,0.9435,0.9709,0.9709,0.2105,0.0790,0.0478,0.9620,0.9806,0.9806,58.68
2025-08-01 00:44:31,29,0.0970,0.9435,0.9709,0.9709,0.2098,0.0797,0.0476,0.9621,0.9807,0.9807,58.73
2025-08-01 00:45:30,30,0.0984,0.9437,0.9710,0.9710,0.2084,0.0818,0.0477,0.9620,0.9806,0.9806,58.73
