timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-08-04 13:23:32,1,0.2185,0.8284,0.9062,0.9062,0.3456,0.1407,0.2638,0.8037,0.8912,0.8799,0.3736,0.1503,12.11
2025-08-04 13:23:44,2,0.1276,0.8999,0.9473,0.9473,0.2005,0.0797,0.1356,0.9002,0.9475,0.9355,0.2112,0.0797,11.91
2025-08-04 13:23:56,3,0.1151,0.9105,0.9532,0.9532,0.1710,0.0756,0.1079,0.9189,0.9577,0.9456,0.1676,0.0641,11.93
2025-08-04 13:24:08,4,0.1042,0.9195,0.9580,0.9580,0.1455,0.0721,0.0903,0.9314,0.9645,0.9523,0.1406,0.0548,11.79
2025-08-04 13:24:20,5,0.0852,0.9312,0.9644,0.9644,0.1289,0.0557,0.0776,0.9398,0.9690,0.9567,0.1213,0.0480,11.86
2025-08-04 13:24:32,6,0.0806,0.9353,0.9666,0.9666,0.1159,0.0538,0.0694,0.9456,0.9720,0.9597,0.1086,0.0427,11.83
2025-08-04 13:24:43,7,0.0694,0.9439,0.9711,0.9711,0.1019,0.0442,0.0624,0.9505,0.9746,0.9623,0.0980,0.0380,11.90
2025-08-04 13:24:55,8,0.0697,0.9438,0.9711,0.9711,0.1023,0.0446,0.0592,0.9528,0.9758,0.9635,0.0933,0.0358,11.67
2025-08-04 13:25:07,9,0.0686,0.9448,0.9716,0.9716,0.0985,0.0445,0.0549,0.9556,0.9773,0.9649,0.0861,0.0335,11.78
2025-08-04 13:25:19,10,0.0751,0.9407,0.9695,0.9695,0.1025,0.0514,0.0526,0.9575,0.9783,0.9659,0.0829,0.0320,11.66
2025-08-04 13:25:30,11,0.0703,0.9437,0.9710,0.9710,0.0968,0.0462,0.0507,0.9590,0.9791,0.9667,0.0800,0.0311,11.68
2025-08-04 13:25:42,12,0.0725,0.9434,0.9709,0.9709,0.0948,0.0499,0.0508,0.9585,0.9788,0.9664,0.0779,0.0314,11.83
2025-08-04 13:25:54,13,0.0766,0.9412,0.9697,0.9697,0.0999,0.0536,0.0479,0.9609,0.9801,0.9677,0.0753,0.0293,11.65
2025-08-04 13:26:05,14,0.0747,0.9434,0.9709,0.9709,0.0899,0.0525,0.0457,0.9624,0.9808,0.9684,0.0721,0.0282,11.59
2025-08-04 13:26:17,15,0.0736,0.9437,0.9710,0.9710,0.0947,0.0514,0.0477,0.9609,0.9801,0.9676,0.0735,0.0296,11.73
2025-08-04 13:26:29,16,0.0667,0.9474,0.9730,0.9730,0.0886,0.0457,0.0433,0.9647,0.9820,0.9696,0.0690,0.0265,11.90
2025-08-04 13:26:41,17,0.0680,0.9469,0.9727,0.9727,0.0892,0.0471,0.0410,0.9664,0.9829,0.9705,0.0663,0.0250,11.74
2025-08-04 13:26:52,18,0.0680,0.9471,0.9728,0.9728,0.0886,0.0473,0.0402,0.9671,0.9833,0.9708,0.0651,0.0244,11.72
2025-08-04 13:27:04,19,0.0662,0.9482,0.9734,0.9734,0.0862,0.0459,0.0395,0.9677,0.9836,0.9711,0.0645,0.0239,11.81
2025-08-04 13:27:16,20,0.0686,0.9470,0.9728,0.9728,0.0885,0.0478,0.0392,0.9680,0.9837,0.9713,0.0638,0.0239,11.79
2025-08-04 13:27:28,21,0.0679,0.9476,0.9731,0.9731,0.0861,0.0476,0.0380,0.9689,0.9842,0.9718,0.0625,0.0230,11.79
2025-08-04 13:27:40,22,0.0683,0.9474,0.9730,0.9730,0.0862,0.0480,0.0383,0.9685,0.9840,0.9715,0.0625,0.0233,11.79
2025-08-04 13:27:51,23,0.0681,0.9476,0.9731,0.9731,0.0864,0.0477,0.0377,0.9692,0.9844,0.9719,0.0615,0.0228,11.73
2025-08-04 13:28:03,24,0.0692,0.9471,0.9728,0.9728,0.0867,0.0489,0.0382,0.9687,0.9841,0.9716,0.0622,0.0233,11.72
2025-08-04 13:28:15,25,0.0703,0.9466,0.9725,0.9725,0.0867,0.0500,0.0371,0.9696,0.9846,0.9721,0.0609,0.0225,11.75
2025-08-04 13:28:27,26,0.0682,0.9474,0.9730,0.9730,0.0853,0.0479,0.0369,0.9698,0.9847,0.9722,0.0600,0.0225,11.76
2025-08-04 13:28:38,27,0.0676,0.9481,0.9733,0.9733,0.0840,0.0476,0.0365,0.9701,0.9848,0.9723,0.0601,0.0222,11.84
2025-08-04 13:28:50,28,0.0692,0.9473,0.9730,0.9730,0.0859,0.0490,0.0370,0.9696,0.9846,0.9721,0.0605,0.0225,11.80
2025-08-04 13:29:02,29,0.0679,0.9478,0.9732,0.9732,0.0846,0.0479,0.0361,0.9705,0.9850,0.9726,0.0596,0.0219,11.86
2025-08-04 13:29:14,30,0.0683,0.9477,0.9731,0.9731,0.0846,0.0483,0.0369,0.9697,0.9846,0.9722,0.0604,0.0225,11.76
