timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-08-04 13:27:51,1,0.1327,0.8951,0.9447,0.9447,0.2039,0.0896,0.2449,0.8150,0.8981,0.8867,0.2748,0.2249,13.57
2025-08-04 13:28:04,2,0.1054,0.9149,0.9556,0.9556,0.1703,0.0781,0.1038,0.9210,0.9589,0.9467,0.1599,0.0827,13.18
2025-08-04 13:28:17,3,0.0933,0.9233,0.9601,0.9601,0.1464,0.1119,0.0911,0.9278,0.9626,0.9504,0.1395,0.0715,13.11
2025-08-04 13:28:30,4,0.0849,0.9325,0.9651,0.9651,0.1307,0.0757,0.0811,0.9353,0.9666,0.9543,0.1268,0.0670,13.21
2025-08-04 13:28:43,5,0.0789,0.9357,0.9668,0.9668,0.1257,0.0628,0.0766,0.9376,0.9678,0.9556,0.1197,0.0665,13.05
2025-08-04 13:28:56,6,0.1011,0.9192,0.9579,0.9579,0.1522,0.0703,0.0725,0.9418,0.9700,0.9578,0.1154,0.0538,13.02
2025-08-04 13:29:09,7,0.0944,0.9255,0.9613,0.9613,0.1397,0.0928,0.0796,0.9359,0.9669,0.9546,0.1213,0.0627,12.97
2025-08-04 13:29:23,8,0.0764,0.9380,0.9680,0.9680,0.1175,0.0701,0.0724,0.9412,0.9697,0.9575,0.1150,0.0607,13.16
2025-08-04 13:29:36,9,0.0747,0.9394,0.9687,0.9687,0.1105,0.0519,0.0659,0.9464,0.9725,0.9602,0.1039,0.0588,13.18
2025-08-04 13:29:49,10,0.0753,0.9388,0.9684,0.9684,0.1174,0.0474,0.0651,0.9470,0.9728,0.9605,0.1013,0.0549,13.04
2025-08-04 13:30:02,11,0.0717,0.9414,0.9698,0.9698,0.1042,0.0465,0.0617,0.9497,0.9742,0.9619,0.0975,0.0612,13.08
2025-08-04 13:30:15,12,0.0829,0.9336,0.9656,0.9656,0.1169,0.0569,0.0580,0.9526,0.9757,0.9634,0.0918,0.0480,13.03
2025-08-04 13:30:28,13,0.0895,0.9305,0.9640,0.9640,0.1214,0.0635,0.0554,0.9547,0.9768,0.9644,0.0883,0.0457,12.98
2025-08-04 13:30:41,14,0.0671,0.9455,0.9720,0.9720,0.0960,0.0460,0.0535,0.9561,0.9776,0.9652,0.0851,0.0391,13.25
2025-08-04 13:30:54,15,0.0695,0.9435,0.9709,0.9709,0.1010,0.0477,0.0514,0.9582,0.9787,0.9663,0.0804,0.0371,13.16
2025-08-04 13:31:07,16,0.0689,0.9448,0.9716,0.9716,0.0930,0.0487,0.0485,0.9602,0.9797,0.9673,0.0771,0.0453,13.03
2025-08-04 13:31:20,17,0.0674,0.9460,0.9723,0.9723,0.0897,0.0490,0.0452,0.9630,0.9811,0.9687,0.0722,0.0352,13.04
2025-08-04 13:31:33,18,0.0726,0.9436,0.9710,0.9710,0.0942,0.0958,0.0457,0.9622,0.9807,0.9683,0.0717,0.0332,12.95
2025-08-04 13:31:46,19,0.0743,0.9422,0.9702,0.9702,0.0975,0.0595,0.0433,0.9643,0.9818,0.9694,0.0686,0.0315,12.95
2025-08-04 13:31:59,20,0.0784,0.9406,0.9694,0.9694,0.0979,0.0861,0.0421,0.9653,0.9823,0.9699,0.0670,0.0303,12.88
2025-08-04 13:32:12,21,0.0704,0.9456,0.9720,0.9720,0.0892,0.0741,0.0403,0.9668,0.9831,0.9707,0.0653,0.0279,12.93
2025-08-04 13:32:25,22,0.0710,0.9454,0.9719,0.9719,0.0887,0.0945,0.0385,0.9686,0.9841,0.9716,0.0636,0.0270,12.96
2025-08-04 13:32:38,23,0.0699,0.9461,0.9723,0.9723,0.0875,0.0839,0.0377,0.9693,0.9844,0.9719,0.0618,0.0281,13.05
2025-08-04 13:32:51,24,0.0705,0.9459,0.9722,0.9722,0.0871,0.1276,0.0371,0.9697,0.9846,0.9721,0.0602,0.0273,12.97
2025-08-04 13:33:04,25,0.0700,0.9464,0.9725,0.9725,0.0860,0.1007,0.0370,0.9698,0.9847,0.9722,0.0605,0.0285,13.05
2025-08-04 13:33:17,26,0.0708,0.9460,0.9723,0.9723,0.0862,0.1194,0.0364,0.9704,0.9850,0.9725,0.0596,0.0287,12.91
2025-08-04 13:33:30,27,0.0702,0.9465,0.9725,0.9725,0.0856,0.0996,0.0357,0.9709,0.9852,0.9727,0.0587,0.0269,12.98
2025-08-04 13:33:43,28,0.0715,0.9458,0.9721,0.9721,0.0867,0.0915,0.0367,0.9700,0.9848,0.9723,0.0600,0.0279,13.05
2025-08-04 13:33:56,29,0.0719,0.9455,0.9720,0.9720,0.0871,0.1338,0.0361,0.9705,0.9850,0.9726,0.0589,0.0278,12.89
2025-08-04 13:34:09,30,0.0702,0.9464,0.9725,0.9725,0.0856,0.0914,0.0356,0.9711,0.9853,0.9729,0.0586,0.0274,12.88
