timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-10-11 14:27:26,1,0.1045,0.9246,0.9608,0.9608,0.3343,0.0602,0.1367,0.9129,0.9545,0.9526,0.4099,0.0837,50.78
2025-10-11 14:28:17,2,0.0831,0.9397,0.9689,0.9689,0.2861,0.0526,0.0972,0.9311,0.9643,0.9624,0.3293,0.0593,50.77
2025-10-11 14:29:08,3,0.0814,0.9398,0.9690,0.9690,0.2896,0.0521,0.0873,0.9363,0.9671,0.9652,0.3002,0.0527,50.75
2025-10-11 14:29:58,4,0.0767,0.9423,0.9703,0.9703,0.2751,0.0452,0.0809,0.9402,0.9692,0.9673,0.2792,0.0487,50.72
2025-10-11 14:30:49,5,0.0766,0.9427,0.9705,0.9705,0.2665,0.0435,0.0747,0.9434,0.9709,0.9690,0.2623,0.0446,50.75
2025-10-11 14:31:40,6,0.0766,0.9446,0.9715,0.9715,0.2626,0.0489,0.0724,0.9448,0.9716,0.9697,0.2561,0.0430,50.74
2025-10-11 14:32:31,7,0.0755,0.9458,0.9721,0.9721,0.2547,0.0491,0.0728,0.9449,0.9717,0.9697,0.2552,0.0434,50.72
2025-10-11 14:33:21,8,0.0726,0.9464,0.9725,0.9725,0.2428,0.0447,0.0660,0.9487,0.9737,0.9717,0.2353,0.0390,50.73
2025-10-11 14:34:12,9,0.0738,0.9457,0.9721,0.9721,0.2447,0.0462,0.0640,0.9501,0.9744,0.9725,0.2281,0.0380,50.68
2025-10-11 14:35:03,10,0.0714,0.9466,0.9726,0.9726,0.2440,0.0436,0.0598,0.9526,0.9757,0.9738,0.2154,0.0350,50.79
2025-10-11 14:35:54,11,0.0759,0.9477,0.9732,0.9732,0.2319,0.0520,0.0569,0.9546,0.9768,0.9748,0.2070,0.0332,50.81
2025-10-11 14:36:44,12,0.0725,0.9471,0.9728,0.9728,0.2348,0.0462,0.0578,0.9541,0.9765,0.9746,0.2058,0.0341,50.65
2025-10-11 14:37:36,13,0.0718,0.9482,0.9734,0.9734,0.2198,0.0468,0.0546,0.9562,0.9776,0.9757,0.1987,0.0316,51.90
2025-10-11 14:38:28,14,0.0785,0.9489,0.9738,0.9738,0.2217,0.0559,0.0516,0.9579,0.9785,0.9766,0.1873,0.0298,51.36
2025-10-11 14:39:18,15,0.0808,0.9453,0.9719,0.9719,0.2363,0.0552,0.0513,0.9583,0.9787,0.9768,0.1851,0.0298,50.65
2025-10-11 14:40:09,16,0.0756,0.9474,0.9730,0.9730,0.2117,0.0517,0.0500,0.9590,0.9791,0.9772,0.1843,0.0289,50.65
2025-10-11 14:41:00,17,0.0742,0.9512,0.9750,0.9750,0.2057,0.0529,0.0442,0.9635,0.9814,0.9795,0.1665,0.0250,50.72
2025-10-11 14:41:50,18,0.0739,0.9512,0.9750,0.9750,0.2028,0.0527,0.0411,0.9656,0.9825,0.9806,0.1560,0.0232,50.79
2025-10-11 14:42:41,19,0.0765,0.9514,0.9751,0.9751,0.2003,0.0562,0.0397,0.9667,0.9830,0.9811,0.1503,0.0225,50.81
2025-10-11 14:43:32,20,0.0772,0.9515,0.9751,0.9751,0.1999,0.0570,0.0389,0.9673,0.9834,0.9815,0.1464,0.0221,50.87
2025-10-11 14:44:23,21,0.0771,0.9515,0.9752,0.9752,0.1965,0.0570,0.0378,0.9681,0.9838,0.9819,0.1420,0.0214,50.80
2025-10-11 14:45:14,22,0.0801,0.9513,0.9750,0.9750,0.1988,0.0602,0.0368,0.9689,0.9842,0.9823,0.1390,0.0209,50.72
2025-10-11 14:46:05,23,0.0796,0.9513,0.9750,0.9750,0.1962,0.0597,0.0360,0.9696,0.9846,0.9826,0.1353,0.0203,50.96
2025-10-11 14:46:56,24,0.0791,0.9514,0.9751,0.9751,0.1968,0.0592,0.0357,0.9698,0.9847,0.9827,0.1356,0.0202,51.35
2025-10-11 14:47:48,25,0.0801,0.9514,0.9751,0.9751,0.1958,0.0604,0.0357,0.9698,0.9847,0.9827,0.1359,0.0202,51.69
2025-10-11 14:48:39,26,0.0808,0.9513,0.9750,0.9750,0.1972,0.0611,0.0357,0.9698,0.9847,0.9827,0.1348,0.0202,51.55
2025-10-11 14:49:31,27,0.0816,0.9513,0.9750,0.9750,0.1963,0.0621,0.0354,0.9700,0.9848,0.9828,0.1333,0.0201,51.80
2025-10-11 14:50:23,28,0.0815,0.9511,0.9749,0.9749,0.1960,0.0618,0.0354,0.9700,0.9848,0.9828,0.1326,0.0201,51.70
2025-10-11 14:51:14,29,0.0808,0.9513,0.9751,0.9751,0.1950,0.0612,0.0352,0.9702,0.9849,0.9829,0.1330,0.0198,51.50
2025-10-11 14:52:06,30,0.0809,0.9514,0.9751,0.9751,0.1955,0.0614,0.0352,0.9702,0.9849,0.9829,0.1331,0.0199,51.48
