timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-12-20 14:27:14,1,0.1181,0.9307,0.9641,0.9641,0.0391,2.0313,0.1649,0.9124,0.9542,0.9480,0.0398,1.0797,152.42
2025-12-20 14:29:42,2,0.0810,0.9371,0.9675,0.9675,0.0316,1.0080,0.0864,0.9355,0.9667,0.9648,0.0313,1.0296,147.96
2025-12-20 14:32:10,3,0.0863,0.9414,0.9698,0.9698,0.0282,0.6157,0.0782,0.9400,0.9691,0.9672,0.0286,1.0056,147.55
2025-12-20 14:34:38,4,0.0800,0.9425,0.9704,0.9704,0.0311,1.7352,0.0704,0.9450,0.9717,0.9698,0.0263,0.9913,148.04
2025-12-20 14:37:05,5,0.1424,0.9227,0.9598,0.9598,0.0452,2.9650,0.0652,0.9480,0.9733,0.9714,0.0246,0.9549,147.24
2025-12-20 14:39:32,6,0.1162,0.9241,0.9605,0.9605,0.0352,2.6056,0.0626,0.9496,0.9742,0.9722,0.0238,0.9166,146.93
2025-12-20 14:41:59,7,0.2172,0.9175,0.9570,0.9570,0.0509,0.8824,0.0594,0.9516,0.9752,0.9733,0.0228,0.8709,146.82
2025-12-20 14:44:27,8,0.0807,0.9411,0.9697,0.9697,0.0286,1.0763,0.0593,0.9519,0.9754,0.9734,0.0226,0.8987,147.52
2025-12-20 14:46:54,9,0.0776,0.9409,0.9695,0.9695,0.0287,1.0492,0.0509,0.9572,0.9781,0.9762,0.0199,0.7312,147.46
2025-12-20 14:49:22,10,0.0986,0.9280,0.9627,0.9627,0.0304,1.8730,0.0494,0.9582,0.9787,0.9767,0.0194,0.6831,147.09
2025-12-20 14:51:49,11,0.1553,0.9263,0.9617,0.9617,0.0397,0.7716,0.0472,0.9601,0.9796,0.9777,0.0185,0.6425,146.99
2025-12-20 14:54:16,12,0.0923,0.9287,0.9630,0.9630,0.0283,1.4973,0.0464,0.9606,0.9799,0.9780,0.0183,0.6544,147.21
2025-12-20 14:56:44,13,0.1056,0.9397,0.9689,0.9689,0.0289,0.7192,0.0445,0.9619,0.9806,0.9787,0.0176,0.6078,147.49
2025-12-20 14:59:11,14,0.0938,0.9392,0.9687,0.9687,0.0298,0.7695,0.0528,0.9562,0.9776,0.9757,0.0202,0.7274,147.61
2025-12-20 15:01:39,15,0.0761,0.9473,0.9729,0.9729,0.0238,0.7576,0.0506,0.9578,0.9784,0.9765,0.0198,0.7502,147.36
2025-12-20 15:04:06,16,0.0740,0.9467,0.9726,0.9726,0.0243,0.7883,0.0448,0.9619,0.9806,0.9787,0.0176,0.6125,147.42
2025-12-20 15:06:34,17,0.0786,0.9480,0.9733,0.9733,0.0236,0.6468,0.0401,0.9653,0.9823,0.9804,0.0161,0.5124,147.51
2025-12-20 15:09:01,18,0.0817,0.9447,0.9716,0.9716,0.0235,0.6318,0.0371,0.9678,0.9836,0.9817,0.0150,0.4327,147.16
2025-12-20 15:11:28,19,0.1176,0.9377,0.9679,0.9679,0.0280,0.6474,0.0381,0.9669,0.9832,0.9812,0.0154,0.4303,147.09
2025-12-20 15:13:56,20,0.1141,0.9362,0.9671,0.9671,0.0313,0.5189,0.0412,0.9646,0.9820,0.9800,0.0164,0.4873,147.54
2025-12-20 15:16:23,21,0.0854,0.9459,0.9722,0.9722,0.0222,0.5460,0.0386,0.9666,0.9830,0.9811,0.0155,0.4651,147.52
2025-12-20 15:18:51,22,0.0957,0.9450,0.9717,0.9717,0.0248,0.4875,0.0362,0.9686,0.9841,0.9821,0.0146,0.4089,147.36
2025-12-20 15:21:19,23,0.0827,0.9520,0.9754,0.9754,0.0203,0.4421,0.0316,0.9725,0.9861,0.9841,0.0130,0.3615,147.90
2025-12-20 15:23:47,24,0.0861,0.9522,0.9755,0.9755,0.0200,0.4151,0.0293,0.9743,0.9870,0.9850,0.0123,0.3258,147.86
2025-12-20 15:26:15,25,0.0906,0.9524,0.9756,0.9756,0.0196,0.3946,0.0282,0.9751,0.9874,0.9855,0.0118,0.3062,147.81
2025-12-20 15:28:43,26,0.0950,0.9525,0.9757,0.9757,0.0196,0.3802,0.0273,0.9759,0.9878,0.9859,0.0114,0.2901,147.95
2025-12-20 15:31:11,27,0.0992,0.9521,0.9755,0.9755,0.0196,0.3766,0.0266,0.9765,0.9881,0.9862,0.0112,0.2791,147.77
2025-12-20 15:33:38,28,0.1013,0.9519,0.9754,0.9754,0.0199,0.3793,0.0258,0.9771,0.9884,0.9865,0.0110,0.2679,147.23
2025-12-20 15:36:05,29,0.1025,0.9522,0.9755,0.9755,0.0195,0.3701,0.0251,0.9777,0.9887,0.9868,0.0107,0.2629,147.26
2025-12-20 15:38:32,30,0.1033,0.9524,0.9756,0.9756,0.0195,0.3664,0.0251,0.9779,0.9888,0.9869,0.0106,0.2610,147.07
