timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-12-20 16:18:51,1,0.0939,0.9364,0.9672,0.9672,0.0044,8.6553,0.1515,0.9160,0.9562,0.9517,0.0049,6.8324,246.22
2025-12-20 16:22:54,2,0.1044,0.9384,0.9682,0.9682,0.0041,15.9733,0.0848,0.9368,0.9674,0.9655,0.0039,6.4812,243.20
2025-12-20 16:26:57,3,0.0870,0.9377,0.9679,0.9679,0.0040,8.4868,0.0755,0.9422,0.9702,0.9683,0.0035,6.3267,242.30
2025-12-20 16:30:59,4,0.0796,0.9405,0.9693,0.9693,0.0038,6.1036,0.0698,0.9455,0.9720,0.9701,0.0033,6.2573,242.49
2025-12-20 16:35:01,5,0.1200,0.9271,0.9621,0.9621,0.0046,13.5737,0.0687,0.9465,0.9725,0.9706,0.0032,6.1418,242.19
2025-12-20 16:39:04,6,0.0830,0.9357,0.9668,0.9668,0.0035,5.9978,0.0651,0.9485,0.9736,0.9717,0.0031,6.1154,242.65
2025-12-20 16:43:07,7,0.0980,0.9235,0.9602,0.9602,0.0038,7.6112,0.0576,0.9530,0.9759,0.9740,0.0028,5.9758,242.37
2025-12-20 16:47:10,8,0.0722,0.9457,0.9721,0.9721,0.0034,6.4016,0.0546,0.9550,0.9770,0.9750,0.0027,5.7950,242.84
2025-12-20 16:51:12,9,0.0712,0.9468,0.9727,0.9727,0.0032,4.6622,0.0511,0.9573,0.9782,0.9763,0.0025,5.6441,242.80
2025-12-20 16:55:15,10,0.1052,0.9243,0.9607,0.9607,0.0040,5.1491,0.0495,0.9584,0.9788,0.9768,0.0025,5.5694,242.36
2025-12-20 16:59:17,11,0.0797,0.9404,0.9693,0.9693,0.0037,5.5951,0.0497,0.9586,0.9789,0.9770,0.0025,5.5453,242.45
2025-12-20 17:03:20,12,0.0777,0.9437,0.9711,0.9711,0.0035,7.6953,0.0499,0.9585,0.9788,0.9769,0.0025,5.6422,242.82
2025-12-20 17:07:23,13,0.0872,0.9378,0.9679,0.9679,0.0039,8.6813,0.0477,0.9598,0.9795,0.9776,0.0024,5.6121,242.63
2025-12-20 17:11:25,14,0.0890,0.9412,0.9697,0.9697,0.0035,6.6045,0.0465,0.9608,0.9800,0.9781,0.0023,5.4373,242.10
2025-12-20 17:15:27,15,0.0833,0.9429,0.9706,0.9706,0.0036,3.7401,0.0446,0.9620,0.9806,0.9787,0.0023,5.4125,241.39
2025-12-20 17:19:29,16,0.0740,0.9531,0.9760,0.9760,0.0026,5.4179,0.0363,0.9686,0.9840,0.9821,0.0019,5.1890,242.01
2025-12-20 17:23:31,17,0.0744,0.9536,0.9762,0.9762,0.0025,5.4585,0.0337,0.9707,0.9851,0.9832,0.0018,4.9926,241.68
2025-12-20 17:27:32,18,0.0797,0.9538,0.9763,0.9763,0.0025,5.2250,0.0324,0.9717,0.9856,0.9837,0.0017,4.8385,241.67
2025-12-20 17:31:34,19,0.0813,0.9540,0.9765,0.9765,0.0025,5.1494,0.0313,0.9726,0.9861,0.9842,0.0016,4.6895,241.76
2025-12-20 17:35:36,20,0.0845,0.9536,0.9763,0.9763,0.0025,4.6481,0.0304,0.9734,0.9865,0.9846,0.0016,4.5473,241.32
2025-12-20 17:39:37,21,0.0871,0.9539,0.9764,0.9764,0.0024,4.9730,0.0293,0.9743,0.9870,0.9850,0.0015,4.3954,241.39
2025-12-20 17:43:39,22,0.0910,0.9538,0.9764,0.9764,0.0025,4.6750,0.0283,0.9752,0.9874,0.9855,0.0015,4.3046,241.51
2025-12-20 17:47:40,23,0.0903,0.9538,0.9763,0.9763,0.0025,4.3868,0.0281,0.9753,0.9875,0.9855,0.0015,4.2795,241.08
2025-12-20 17:51:41,24,0.0935,0.9537,0.9763,0.9763,0.0024,4.4246,0.0280,0.9754,0.9875,0.9856,0.0015,4.2645,240.80
2025-12-20 17:55:42,25,0.0932,0.9537,0.9763,0.9763,0.0025,4.5790,0.0278,0.9755,0.9876,0.9857,0.0015,4.2496,240.65
2025-12-20 17:59:43,26,0.0934,0.9539,0.9764,0.9764,0.0024,4.2882,0.0278,0.9756,0.9877,0.9857,0.0015,4.2151,240.91
2025-12-20 18:03:44,27,0.0944,0.9536,0.9762,0.9762,0.0025,4.6011,0.0276,0.9757,0.9877,0.9858,0.0015,4.2101,241.17
2025-12-20 18:07:45,28,0.0938,0.9536,0.9762,0.9762,0.0025,4.4088,0.0273,0.9760,0.9879,0.9859,0.0015,4.1914,240.76
2025-12-20 18:11:46,29,0.0939,0.9536,0.9762,0.9762,0.0025,4.4467,0.0273,0.9760,0.9879,0.9859,0.0015,4.1844,240.89
2025-12-20 18:15:47,30,0.0949,0.9536,0.9762,0.9762,0.0025,4.8917,0.0273,0.9759,0.9878,0.9859,0.0015,4.1811,240.76
