timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-10-19 04:15:20,1,0.1019,0.9249,0.9610,0.9610,0.3703,0.0688,0.1474,0.9154,0.9558,0.9539,0.4089,0.1266,83.20
2025-10-19 04:16:45,2,0.0900,0.9332,0.9654,0.9654,0.2855,0.0592,0.1003,0.9278,0.9625,0.9606,0.3356,0.0831,85.09
2025-10-19 04:18:09,3,0.0852,0.9396,0.9689,0.9689,0.3072,0.0483,0.0903,0.9333,0.9655,0.9636,0.3076,0.0753,83.98
2025-10-19 04:19:33,4,0.0784,0.9397,0.9689,0.9689,0.2678,0.0462,0.0846,0.9366,0.9673,0.9654,0.2934,0.0764,83.87
2025-10-19 04:20:58,5,0.0762,0.9438,0.9711,0.9711,0.2602,0.0520,0.0765,0.9415,0.9699,0.9680,0.2692,0.0796,85.33
2025-10-19 04:22:23,6,0.0704,0.9469,0.9727,0.9727,0.2494,0.0447,0.0726,0.9440,0.9712,0.9693,0.2561,0.0713,84.74
2025-10-19 04:23:47,7,0.0703,0.9466,0.9726,0.9726,0.2379,0.0444,0.0696,0.9457,0.9721,0.9702,0.2499,0.0782,84.31
2025-10-19 04:25:12,8,0.0700,0.9479,0.9732,0.9732,0.2305,0.0474,0.0646,0.9494,0.9740,0.9721,0.2319,0.0814,85.14
2025-10-19 04:26:37,9,0.0749,0.9467,0.9726,0.9726,0.2477,0.0515,0.0615,0.9509,0.9748,0.9729,0.2217,0.0794,84.95
2025-10-19 04:28:02,10,0.0716,0.9457,0.9721,0.9721,0.2454,0.0477,0.0608,0.9519,0.9753,0.9734,0.2199,0.0813,84.40
2025-10-19 04:29:27,11,0.0737,0.9459,0.9722,0.9722,0.2319,0.0537,0.0608,0.9519,0.9753,0.9734,0.2199,0.0733,85.32
2025-10-19 04:30:52,12,0.0723,0.9457,0.9721,0.9721,0.2213,0.0617,0.0577,0.9538,0.9763,0.9744,0.2091,0.1031,85.38
2025-10-19 04:32:17,13,0.0746,0.9484,0.9735,0.9735,0.2258,0.0929,0.0538,0.9565,0.9778,0.9758,0.1969,0.1072,84.20
2025-10-19 04:33:44,14,0.0709,0.9485,0.9736,0.9736,0.2252,0.0641,0.0523,0.9574,0.9782,0.9763,0.1921,0.1110,87.17
2025-10-19 04:35:10,15,0.0736,0.9514,0.9751,0.9751,0.2052,0.0733,0.0456,0.9621,0.9807,0.9788,0.1716,0.1039,86.66
2025-10-19 04:36:36,16,0.0765,0.9512,0.9750,0.9750,0.1993,0.0850,0.0431,0.9639,0.9816,0.9797,0.1619,0.1032,85.86
2025-10-19 04:38:03,17,0.0764,0.9514,0.9751,0.9751,0.2021,0.0867,0.0418,0.9648,0.9821,0.9801,0.1563,0.1010,86.65
2025-10-19 04:39:30,18,0.0789,0.9512,0.9750,0.9750,0.2015,0.0924,0.0409,0.9655,0.9824,0.9805,0.1541,0.1005,87.28
2025-10-19 04:40:57,19,0.0794,0.9505,0.9746,0.9746,0.1988,0.0890,0.0406,0.9659,0.9826,0.9807,0.1524,0.1052,87.14
2025-10-19 04:42:24,20,0.0826,0.9510,0.9749,0.9749,0.1994,0.0907,0.0390,0.9670,0.9832,0.9813,0.1470,0.0927,86.67
2025-10-19 04:43:51,21,0.0837,0.9510,0.9749,0.9749,0.1978,0.0931,0.0380,0.9678,0.9836,0.9817,0.1445,0.0929,86.99
2025-10-19 04:45:18,22,0.0830,0.9510,0.9749,0.9749,0.1972,0.0933,0.0377,0.9680,0.9838,0.9818,0.1423,0.0935,86.98
2025-10-19 04:46:45,23,0.0838,0.9510,0.9749,0.9749,0.1973,0.0969,0.0376,0.9681,0.9838,0.9818,0.1430,0.0920,87.37
2025-10-19 04:48:12,24,0.0840,0.9509,0.9748,0.9748,0.1974,0.0945,0.0374,0.9683,0.9839,0.9820,0.1413,0.0948,86.52
2025-10-19 04:49:39,25,0.0845,0.9508,0.9748,0.9748,0.1961,0.1000,0.0374,0.9683,0.9839,0.9819,0.1418,0.1033,86.67
2025-10-19 04:51:05,26,0.0849,0.9507,0.9747,0.9747,0.1965,0.1028,0.0372,0.9684,0.9840,0.9820,0.1404,0.0966,86.59
2025-10-19 04:52:29,27,0.0862,0.9509,0.9748,0.9748,0.1984,0.1028,0.0371,0.9685,0.9840,0.9820,0.1407,0.0960,83.48
2025-10-19 04:53:45,28,0.0851,0.9509,0.9748,0.9748,0.1963,0.1001,0.0371,0.9684,0.9840,0.9820,0.1409,0.1002,76.04
2025-10-19 04:55:01,29,0.0856,0.9510,0.9749,0.9749,0.1962,0.0991,0.0371,0.9684,0.9840,0.9820,0.1402,0.0973,76.57
2025-10-19 04:56:18,30,0.0862,0.9507,0.9747,0.9747,0.1967,0.0989,0.0370,0.9685,0.9840,0.9821,0.1398,0.0953,76.71
