timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-10-20 18:52:36,1,0.0995,0.9316,0.9646,0.9646,0.3297,0.1047,0.1295,0.9148,0.9555,0.9536,0.3730,0.1474,76.29
2025-10-20 18:53:48,2,0.0914,0.9359,0.9669,0.9669,0.3097,0.1099,0.1006,0.9288,0.9631,0.9612,0.3326,0.1170,71.60
2025-10-20 18:54:58,3,0.0899,0.9372,0.9676,0.9676,0.2947,0.1129,0.0931,0.9326,0.9651,0.9632,0.3143,0.1111,70.24
2025-10-20 18:56:07,4,0.0898,0.9368,0.9674,0.9674,0.2960,0.1132,0.0886,0.9350,0.9664,0.9645,0.3014,0.1098,68.56
2025-10-20 18:57:15,5,0.1950,0.9368,0.9674,0.9674,0.3023,0.2423,0.0830,0.9381,0.9681,0.9662,0.2875,0.1027,68.62
2025-10-20 18:58:24,6,0.0889,0.9392,0.9686,0.9686,0.2998,0.0876,0.0807,0.9392,0.9687,0.9667,0.2798,0.0941,68.94
2025-10-20 18:59:34,7,0.1578,0.9326,0.9651,0.9651,0.2999,0.1703,0.0781,0.9403,0.9692,0.9673,0.2748,0.0877,69.40
2025-10-20 19:00:43,8,0.1928,0.9263,0.9617,0.9617,0.3171,0.2350,0.0739,0.9431,0.9707,0.9688,0.2610,0.0828,68.90
2025-10-20 19:01:52,9,0.1044,0.9422,0.9702,0.9702,0.2679,0.1189,0.0712,0.9446,0.9715,0.9696,0.2532,0.0795,69.26
2025-10-20 19:03:01,10,0.0866,0.9435,0.9709,0.9709,0.2587,0.1091,0.0686,0.9461,0.9723,0.9704,0.2474,0.0735,69.12
2025-10-20 19:04:10,11,0.0836,0.9411,0.9697,0.9697,0.2718,0.0969,0.0700,0.9455,0.9720,0.9701,0.2479,0.0765,68.79
2025-10-20 19:05:19,12,0.1179,0.9406,0.9694,0.9694,0.2798,0.8181,0.0675,0.9471,0.9728,0.9709,0.2409,0.0747,68.82
2025-10-20 19:06:28,13,0.1323,0.9351,0.9664,0.9664,0.3015,0.1429,0.0686,0.9464,0.9725,0.9706,0.2450,0.0736,69.03
2025-10-20 19:07:37,14,0.0905,0.9421,0.9702,0.9702,0.2639,0.0891,0.0737,0.9435,0.9709,0.9690,0.2595,0.0701,68.82
2025-10-20 19:08:45,15,0.2801,0.9410,0.9696,0.9696,0.2735,0.4195,0.0676,0.9471,0.9729,0.9709,0.2413,0.0676,68.53
2025-10-20 19:09:54,16,3.3794,0.9262,0.9617,0.9617,0.3805,29.7737,0.0683,0.9469,0.9727,0.9708,0.2415,0.0686,69.34
2025-10-20 19:11:04,17,0.1927,0.9301,0.9638,0.9638,0.2863,0.2719,0.0691,0.9465,0.9725,0.9706,0.2448,0.0693,69.64
2025-10-20 19:12:11,18,0.7912,0.9408,0.9695,0.9695,0.2790,3.2719,0.0613,0.9517,0.9752,0.9733,0.2260,0.0623,67.23
2025-10-20 19:13:18,19,0.2770,0.9442,0.9713,0.9713,0.2490,0.6085,0.0574,0.9539,0.9764,0.9745,0.2130,0.0586,66.94
2025-10-20 19:14:25,20,0.7079,0.9418,0.9700,0.9700,0.2620,4.3728,0.0558,0.9548,0.9769,0.9750,0.2079,0.0575,67.05
2025-10-20 19:15:33,21,0.3764,0.9439,0.9711,0.9711,0.2510,1.5978,0.0547,0.9555,0.9772,0.9753,0.2047,0.0577,67.29
2025-10-20 19:16:40,22,0.6008,0.9432,0.9708,0.9708,0.2532,5.4597,0.0532,0.9564,0.9777,0.9758,0.1990,0.0559,67.14
2025-10-20 19:17:47,23,0.9294,0.9438,0.9711,0.9711,0.2480,18.9760,0.0522,0.9570,0.9780,0.9761,0.1956,0.0560,67.16
2025-10-20 19:18:55,24,0.8322,0.9436,0.9710,0.9710,0.2504,13.5769,0.0508,0.9581,0.9786,0.9767,0.1908,0.0544,67.89
2025-10-20 19:20:02,25,1.5357,0.9428,0.9706,0.9706,0.2570,38.9269,0.0507,0.9582,0.9786,0.9767,0.1911,0.0545,67.15
2025-10-20 19:21:13,26,0.5471,0.9435,0.9709,0.9709,0.2496,6.2000,0.0503,0.9584,0.9788,0.9768,0.1903,0.0540,70.62
2025-10-20 19:22:26,27,2.2398,0.9421,0.9702,0.9702,0.2596,74.4301,0.0503,0.9584,0.9788,0.9768,0.1906,0.0541,73.25
2025-10-20 19:23:40,28,0.9279,0.9430,0.9707,0.9707,0.2553,14.4414,0.0502,0.9585,0.9788,0.9769,0.1895,0.0542,74.19
2025-10-20 19:24:59,29,0.6914,0.9437,0.9710,0.9710,0.2511,10.3889,0.0502,0.9585,0.9788,0.9769,0.1888,0.0544,78.65
2025-10-20 19:26:22,30,1.4726,0.9422,0.9702,0.9702,0.2575,39.8746,0.0500,0.9586,0.9788,0.9769,0.1896,0.0542,83.40
