timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-10-16 23:51:08,1,0.1019,0.9276,0.9624,0.9624,0.3442,0.0705,0.1356,0.9121,0.9541,0.9522,0.3824,0.0984,66.80
2025-10-16 23:52:14,2,0.0916,0.9328,0.9652,0.9652,0.3191,0.0582,0.1012,0.9251,0.9611,0.9592,0.3415,0.0650,65.33
2025-10-16 23:53:12,3,0.0990,0.9314,0.9645,0.9645,0.3319,0.0731,0.0889,0.9326,0.9651,0.9632,0.3102,0.0570,58.49
2025-10-16 23:54:08,4,0.0849,0.9374,0.9677,0.9677,0.2981,0.0583,0.0818,0.9372,0.9676,0.9657,0.2879,0.0519,56.03
2025-10-16 23:55:04,5,0.0978,0.9325,0.9651,0.9651,0.3217,0.0715,0.0778,0.9394,0.9687,0.9668,0.2755,0.0489,55.83
2025-10-16 23:56:10,6,0.0791,0.9399,0.9690,0.9690,0.2709,0.0498,0.0749,0.9412,0.9697,0.9678,0.2688,0.0464,65.83
2025-10-16 23:57:16,7,0.0805,0.9391,0.9686,0.9686,0.2579,0.0515,0.0714,0.9431,0.9707,0.9688,0.2586,0.0436,65.79
2025-10-16 23:58:21,8,0.1002,0.9384,0.9682,0.9682,0.2845,0.0749,0.0697,0.9445,0.9715,0.9695,0.2522,0.0421,65.59
2025-10-16 23:59:28,9,0.0866,0.9399,0.9690,0.9690,0.2744,0.0617,0.0678,0.9455,0.9720,0.9701,0.2462,0.0409,66.43
2025-10-17 00:00:36,10,0.0858,0.9417,0.9700,0.9700,0.2610,0.0615,0.0650,0.9472,0.9729,0.9710,0.2378,0.0389,68.57
2025-10-17 00:01:43,11,0.0784,0.9412,0.9697,0.9697,0.2658,0.0513,0.0627,0.9485,0.9736,0.9717,0.2304,0.0374,67.11
2025-10-17 00:02:45,12,0.0758,0.9422,0.9702,0.9702,0.2575,0.0465,0.0626,0.9484,0.9735,0.9716,0.2298,0.0372,61.77
2025-10-17 00:03:54,13,0.0807,0.9409,0.9695,0.9695,0.2474,0.0530,0.0596,0.9505,0.9746,0.9727,0.2224,0.0350,69.36
2025-10-17 00:05:02,14,0.0910,0.9415,0.9699,0.9699,0.2688,0.0665,0.0574,0.9520,0.9754,0.9735,0.2158,0.0337,67.61
2025-10-17 00:06:07,15,0.0811,0.9405,0.9694,0.9694,0.2497,0.0522,0.0568,0.9522,0.9755,0.9736,0.2123,0.0332,65.43
2025-10-17 00:07:13,16,0.0786,0.9440,0.9712,0.9712,0.2408,0.0527,0.0554,0.9532,0.9760,0.9741,0.2082,0.0323,65.45
2025-10-17 00:08:21,17,0.0884,0.9430,0.9706,0.9706,0.2523,0.0637,0.0539,0.9541,0.9765,0.9746,0.2035,0.0313,67.91
2025-10-17 00:09:28,18,0.0898,0.9446,0.9715,0.9715,0.2395,0.0662,0.0534,0.9545,0.9767,0.9748,0.2019,0.0308,67.41
2025-10-17 00:10:35,19,0.0842,0.9457,0.9721,0.9721,0.2313,0.0608,0.0481,0.9584,0.9788,0.9768,0.1874,0.0274,66.34
2025-10-17 00:11:43,20,0.0858,0.9457,0.9721,0.9721,0.2262,0.0628,0.0461,0.9597,0.9794,0.9775,0.1779,0.0264,68.18
2025-10-17 00:12:50,21,0.0862,0.9456,0.9720,0.9720,0.2253,0.0630,0.0453,0.9603,0.9797,0.9778,0.1747,0.0259,67.38
2025-10-17 00:13:56,22,0.0869,0.9456,0.9720,0.9720,0.2276,0.0639,0.0448,0.9607,0.9799,0.9780,0.1727,0.0256,65.87
2025-10-17 00:15:03,23,0.0921,0.9457,0.9721,0.9721,0.2256,0.0700,0.0441,0.9612,0.9802,0.9783,0.1709,0.0252,66.89
2025-10-17 00:16:01,24,0.0890,0.9454,0.9719,0.9719,0.2255,0.0660,0.0438,0.9614,0.9803,0.9784,0.1696,0.0251,58.39
2025-10-17 00:16:59,25,0.0912,0.9457,0.9721,0.9721,0.2259,0.0689,0.0429,0.9620,0.9806,0.9787,0.1677,0.0244,57.89
2025-10-17 00:17:57,26,0.0903,0.9455,0.9720,0.9720,0.2253,0.0678,0.0433,0.9618,0.9805,0.9786,0.1677,0.0248,57.81
2025-10-17 00:19:01,27,0.0934,0.9456,0.9721,0.9721,0.2269,0.0714,0.0429,0.9621,0.9807,0.9787,0.1665,0.0244,63.73
2025-10-17 00:20:05,28,0.0909,0.9457,0.9721,0.9721,0.2248,0.0686,0.0428,0.9622,0.9807,0.9788,0.1667,0.0244,64.37
2025-10-17 00:21:11,29,0.0926,0.9456,0.9721,0.9721,0.2234,0.0706,0.0427,0.9622,0.9808,0.9788,0.1668,0.0245,65.76
2025-10-17 00:22:16,30,0.0919,0.9456,0.9720,0.9720,0.2254,0.0697,0.0426,0.9623,0.9808,0.9788,0.1651,0.0244,64.93
