timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-10-23 00:47:34,1,0.0917,0.9333,0.9655,0.9655,0.3184,0.0876,0.1779,0.8907,0.9422,0.9403,0.3985,0.1454,618.31
2025-10-23 00:58:12,2,0.0824,0.9379,0.9679,0.9679,0.2933,0.1006,0.0959,0.9301,0.9638,0.9619,0.3272,0.0879,637.98
2025-10-23 01:08:42,3,0.0764,0.9417,0.9700,0.9700,0.2683,0.0682,0.0832,0.9382,0.9681,0.9662,0.2876,0.0789,630.41
2025-10-23 01:19:24,4,0.0748,0.9427,0.9705,0.9705,0.2635,0.0815,0.0748,0.9431,0.9707,0.9688,0.2632,0.0654,641.76
2025-10-23 01:30:32,5,0.0776,0.9411,0.9696,0.9696,0.2520,0.0833,0.0685,0.9470,0.9728,0.9708,0.2442,0.0580,667.70
2025-10-23 01:41:06,6,0.0693,0.9477,0.9731,0.9731,0.2403,0.0574,0.0643,0.9503,0.9745,0.9726,0.2306,0.0517,634.33
2025-10-23 01:52:04,7,0.0664,0.9494,0.9740,0.9740,0.2355,0.0581,0.0604,0.9526,0.9757,0.9738,0.2151,0.0463,657.51
2025-10-23 02:01:56,8,0.0715,0.9489,0.9738,0.9738,0.2254,0.0509,0.0563,0.9552,0.9771,0.9752,0.2022,0.0408,591.92
2025-10-23 02:12:02,9,0.0710,0.9491,0.9739,0.9739,0.2168,0.0515,0.0525,0.9579,0.9785,0.9766,0.1911,0.0361,606.49
2025-10-23 02:22:18,10,0.0688,0.9499,0.9743,0.9743,0.2233,0.0508,0.0505,0.9592,0.9792,0.9773,0.1835,0.0333,616.11
2025-10-23 02:32:25,11,0.0720,0.9433,0.9708,0.9708,0.2224,0.0482,0.0494,0.9601,0.9796,0.9777,0.1799,0.0324,607.12
2025-10-23 02:42:32,12,0.0707,0.9489,0.9738,0.9738,0.2154,0.0555,0.0479,0.9612,0.9802,0.9783,0.1735,0.0315,607.10
2025-10-23 02:52:42,13,0.0705,0.9472,0.9729,0.9729,0.2081,0.0510,0.0481,0.9611,0.9802,0.9782,0.1755,0.0310,609.86
2025-10-23 03:02:36,14,0.0670,0.9534,0.9761,0.9761,0.1955,0.0490,0.0400,0.9671,0.9833,0.9813,0.1531,0.0251,593.37
2025-10-23 03:12:41,15,0.0673,0.9532,0.9761,0.9761,0.1882,0.0507,0.0368,0.9695,0.9845,0.9826,0.1384,0.0230,605.23
2025-10-23 03:22:47,16,0.0698,0.9534,0.9761,0.9761,0.1865,0.0530,0.0347,0.9711,0.9853,0.9834,0.1307,0.0216,605.95
2025-10-23 03:33:00,17,0.0729,0.9535,0.9762,0.9762,0.1846,0.0559,0.0334,0.9720,0.9858,0.9839,0.1258,0.0209,612.82
2025-10-23 03:43:26,18,0.0731,0.9533,0.9761,0.9761,0.1840,0.0564,0.0321,0.9731,0.9863,0.9844,0.1209,0.0200,626.21
2025-10-23 03:54:22,19,0.0749,0.9533,0.9761,0.9761,0.1828,0.0590,0.0308,0.9740,0.9869,0.9849,0.1161,0.0192,655.62
2025-10-23 04:04:28,20,0.0766,0.9533,0.9761,0.9761,0.1833,0.0610,0.0294,0.9752,0.9875,0.9855,0.1125,0.0185,606.48
2025-10-23 04:14:35,21,0.0768,0.9534,0.9762,0.9762,0.1812,0.0612,0.0292,0.9754,0.9875,0.9856,0.1126,0.0184,606.62
2025-10-23 04:24:41,22,0.0768,0.9534,0.9761,0.9761,0.1811,0.0616,0.0289,0.9757,0.9877,0.9857,0.1109,0.0183,606.72
2025-10-23 04:34:48,23,0.0761,0.9533,0.9761,0.9761,0.1818,0.0604,0.0287,0.9758,0.9878,0.9858,0.1096,0.0182,606.51
2025-10-23 04:44:55,24,0.0785,0.9536,0.9762,0.9762,0.1779,0.0631,0.0285,0.9759,0.9878,0.9858,0.1088,0.0181,607.09
2025-10-23 08:54:40,25,0.0784,0.9534,0.9761,0.9761,0.1796,0.0630,0.0283,0.9761,0.9879,0.9860,0.1070,0.0181,14984.97
2025-10-23 09:14:03,26,0.0793,0.9534,0.9761,0.9761,0.1813,0.0643,0.0282,0.9762,0.9880,0.9860,0.1075,0.0179,1163.04
2025-10-23 09:39:24,27,0.0789,0.9533,0.9761,0.9761,0.1796,0.0636,0.0282,0.9762,0.9880,0.9860,0.1081,0.0180,1520.79
2025-10-23 10:04:35,28,0.0786,0.9532,0.9760,0.9760,0.1813,0.0630,0.0282,0.9762,0.9880,0.9860,0.1079,0.0180,1510.83
2025-10-23 10:30:04,29,0.0800,0.9534,0.9761,0.9761,0.1794,0.0650,0.0282,0.9762,0.9880,0.9860,0.1072,0.0180,1528.96
2025-10-23 10:55:52,30,0.0782,0.9534,0.9761,0.9761,0.1800,0.0630,0.0281,0.9763,0.9880,0.9861,0.1064,0.0179,1548.08
