timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-10-11 11:51:44,1,0.1452,0.9049,0.9501,0.9501,0.4295,0.0955,0.1758,0.8902,0.9419,0.9419,0.4419,0.1041,35.39
2025-10-11 11:52:19,2,0.1342,0.9065,0.9510,0.9510,0.4064,0.0821,0.1383,0.9044,0.9498,0.9498,0.3934,0.0843,34.49
2025-10-11 11:52:53,3,0.1323,0.9088,0.9522,0.9522,0.3930,0.0861,0.1296,0.9077,0.9516,0.9516,0.3734,0.0791,34.67
2025-10-11 11:53:28,4,0.1271,0.9098,0.9527,0.9527,0.3787,0.0826,0.1256,0.9103,0.9530,0.9530,0.3603,0.0774,34.89
2025-10-11 11:54:03,5,0.1270,0.9116,0.9538,0.9538,0.3805,0.0786,0.1217,0.9119,0.9539,0.9539,0.3533,0.0742,34.93
2025-10-11 11:54:38,6,0.1269,0.9110,0.9534,0.9534,0.3744,0.0856,0.1172,0.9139,0.9550,0.9550,0.3428,0.0713,34.93
2025-10-11 11:55:13,7,0.1270,0.9129,0.9545,0.9545,0.3760,0.0831,0.1165,0.9147,0.9555,0.9555,0.3390,0.0709,35.11
2025-10-11 11:55:48,8,0.1177,0.9153,0.9558,0.9558,0.3446,0.0690,0.1139,0.9158,0.9561,0.9561,0.3339,0.0690,35.19
2025-10-11 11:56:23,9,0.1197,0.9148,0.9555,0.9555,0.3569,0.0780,0.1108,0.9170,0.9567,0.9567,0.3272,0.0670,35.05
2025-10-11 11:56:59,10,0.1186,0.9152,0.9557,0.9557,0.3520,0.0788,0.1093,0.9177,0.9571,0.9571,0.3236,0.0660,35.17
2025-10-11 11:57:34,11,0.1183,0.9153,0.9558,0.9558,0.3531,0.0743,0.1084,0.9182,0.9573,0.9573,0.3205,0.0654,35.30
2025-10-11 11:58:09,12,0.1121,0.9185,0.9575,0.9575,0.3300,0.0726,0.1063,0.9192,0.9579,0.9579,0.3166,0.0638,35.34
2025-10-11 11:58:45,13,0.1095,0.9195,0.9580,0.9580,0.3240,0.0669,0.1054,0.9197,0.9582,0.9582,0.3131,0.0633,35.42
2025-10-11 11:59:20,14,0.1117,0.9194,0.9580,0.9580,0.3234,0.0702,0.1039,0.9203,0.9585,0.9585,0.3109,0.0623,35.28
2025-10-11 11:59:55,15,0.1080,0.9198,0.9582,0.9582,0.3295,0.0647,0.1028,0.9209,0.9588,0.9588,0.3081,0.0615,35.45
2025-10-11 12:00:31,16,0.1120,0.9197,0.9582,0.9582,0.3203,0.0722,0.1006,0.9218,0.9593,0.9593,0.3032,0.0601,35.33
2025-10-11 12:01:06,17,0.1139,0.9193,0.9579,0.9579,0.3289,0.0715,0.0997,0.9222,0.9595,0.9595,0.3007,0.0594,35.30
2025-10-11 12:01:41,18,0.1118,0.9186,0.9575,0.9575,0.3257,0.0733,0.0990,0.9224,0.9597,0.9597,0.3001,0.0590,35.32
2025-10-11 12:02:17,19,0.1136,0.9216,0.9592,0.9592,0.3095,0.0774,0.0984,0.9228,0.9598,0.9598,0.2979,0.0586,35.52
2025-10-11 12:02:52,20,0.1097,0.9211,0.9589,0.9589,0.3217,0.0711,0.0977,0.9230,0.9600,0.9600,0.2967,0.0582,35.38
2025-10-11 12:03:28,21,0.1105,0.9215,0.9591,0.9591,0.3164,0.0713,0.0952,0.9240,0.9605,0.9605,0.2927,0.0562,35.44
2025-10-11 12:04:03,22,0.1081,0.9227,0.9598,0.9598,0.3100,0.0703,0.0921,0.9256,0.9614,0.9614,0.2858,0.0539,35.51
2025-10-11 12:04:39,23,0.1074,0.9230,0.9600,0.9600,0.3096,0.0696,0.0898,0.9260,0.9616,0.9616,0.2835,0.0519,35.49
2025-10-11 12:05:14,24,0.1078,0.9231,0.9600,0.9600,0.3102,0.0694,0.0890,0.9265,0.9618,0.9618,0.2810,0.0514,35.59
2025-10-11 12:05:50,25,0.1084,0.9234,0.9602,0.9602,0.3069,0.0701,0.0884,0.9266,0.9619,0.9619,0.2801,0.0510,35.62
2025-10-11 12:06:25,26,0.1088,0.9231,0.9600,0.9600,0.3080,0.0713,0.0878,0.9269,0.9621,0.9621,0.2777,0.0506,35.40
2025-10-11 12:07:01,27,0.1092,0.9231,0.9600,0.9600,0.3035,0.0718,0.0870,0.9271,0.9622,0.9622,0.2771,0.0500,35.43
2025-10-11 12:07:36,28,0.1096,0.9230,0.9599,0.9599,0.3096,0.0712,0.0865,0.9273,0.9623,0.9623,0.2754,0.0498,35.42
2025-10-11 12:08:12,29,0.1105,0.9236,0.9603,0.9603,0.3025,0.0736,0.0861,0.9274,0.9623,0.9623,0.2752,0.0494,35.57
2025-10-11 12:08:47,30,0.1115,0.9234,0.9601,0.9601,0.3033,0.0751,0.0857,0.9278,0.9626,0.9626,0.2735,0.0493,35.53
