timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-10-13 14:02:41,1,0.1828,0.9040,0.9496,0.9496,0.4742,0.1766,0.2344,0.8958,0.9450,0.9450,0.4895,0.4542,59.41
2025-10-13 14:03:59,2,0.1404,0.9045,0.9498,0.9498,0.4187,0.1212,0.1659,0.9000,0.9474,0.9474,0.4352,0.2700,77.88
2025-10-13 14:05:02,3,0.1322,0.9060,0.9507,0.9507,0.3997,0.2756,0.1456,0.9016,0.9482,0.9482,0.4001,0.2630,62.64
2025-10-13 14:06:16,4,0.1286,0.9077,0.9516,0.9516,0.3836,0.2297,0.1341,0.9040,0.9496,0.9496,0.3808,0.3742,73.99
2025-10-13 14:07:27,5,0.1233,0.9083,0.9520,0.9520,0.3792,0.2939,0.1298,0.9049,0.9501,0.9501,0.3727,0.3713,70.77
2025-10-13 14:08:43,6,0.1219,0.9085,0.9521,0.9521,0.3784,0.3195,0.1235,0.9067,0.9511,0.9511,0.3620,0.4154,76.26
2025-10-13 14:09:52,7,0.1186,0.9111,0.9535,0.9535,0.3572,0.1990,0.1218,0.9075,0.9515,0.9515,0.3567,0.3664,68.91
2025-10-13 14:11:00,8,0.1203,0.9081,0.9518,0.9518,0.3726,0.3142,0.1175,0.9093,0.9525,0.9525,0.3472,0.3328,68.28
2025-10-13 14:12:11,9,0.1135,0.9126,0.9543,0.9543,0.3527,0.3030,0.1152,0.9103,0.9530,0.9530,0.3420,0.2985,70.64
2025-10-13 14:13:19,10,0.1112,0.9154,0.9559,0.9559,0.3308,0.2854,0.1107,0.9118,0.9539,0.9539,0.3332,0.3041,68.36
2025-10-13 14:14:25,11,0.1123,0.9132,0.9546,0.9546,0.3534,0.3079,0.1098,0.9128,0.9544,0.9544,0.3295,0.3137,66.06
2025-10-13 14:15:30,12,0.1112,0.9161,0.9562,0.9562,0.3302,0.1825,0.1082,0.9139,0.9550,0.9550,0.3263,0.3455,64.40
2025-10-13 14:16:34,13,0.1103,0.9166,0.9565,0.9565,0.3327,0.2213,0.1064,0.9154,0.9559,0.9559,0.3200,0.2856,64.64
2025-10-13 14:17:39,14,0.1136,0.9174,0.9569,0.9569,0.3390,0.1852,0.1041,0.9163,0.9563,0.9563,0.3156,0.2633,64.21
2025-10-13 14:18:44,15,0.1081,0.9203,0.9585,0.9585,0.3171,0.1475,0.0999,0.9190,0.9578,0.9578,0.3055,0.2259,65.13
2025-10-13 14:19:48,16,0.1081,0.9192,0.9579,0.9579,0.3249,0.1454,0.0960,0.9211,0.9589,0.9589,0.2969,0.1799,64.83
2025-10-13 14:20:53,17,0.1160,0.9172,0.9568,0.9568,0.3207,0.1198,0.0961,0.9213,0.9590,0.9590,0.2965,0.1770,64.28
2025-10-13 14:21:57,18,0.1089,0.9223,0.9596,0.9596,0.3083,0.1171,0.0937,0.9224,0.9596,0.9596,0.2914,0.1861,64.19
2025-10-13 14:23:01,19,0.1082,0.9215,0.9591,0.9591,0.3064,0.0975,0.0913,0.9236,0.9603,0.9603,0.2863,0.1516,64.32
2025-10-13 14:24:09,20,0.1121,0.9222,0.9595,0.9595,0.3093,0.1032,0.0897,0.9243,0.9606,0.9606,0.2830,0.1431,67.81
2025-10-13 14:25:17,21,0.1140,0.9218,0.9593,0.9593,0.3062,0.1061,0.0887,0.9251,0.9611,0.9611,0.2804,0.1347,68.05
2025-10-13 14:26:23,22,0.1154,0.9207,0.9587,0.9587,0.3230,0.1811,0.0881,0.9254,0.9612,0.9612,0.2783,0.1368,65.49
2025-10-13 14:27:28,23,0.1125,0.9239,0.9605,0.9605,0.2945,0.1289,0.0843,0.9274,0.9624,0.9624,0.2711,0.1772,65.84
2025-10-13 14:28:35,24,0.1134,0.9241,0.9606,0.9606,0.2941,0.1295,0.0816,0.9288,0.9631,0.9631,0.2638,0.1486,66.89
2025-10-13 14:29:41,25,0.1164,0.9242,0.9606,0.9606,0.2904,0.1157,0.0803,0.9294,0.9634,0.9634,0.2613,0.1306,65.74
2025-10-13 14:30:50,26,0.1159,0.9250,0.9610,0.9610,0.2857,0.1131,0.0794,0.9296,0.9635,0.9635,0.2593,0.1247,69.11
2025-10-13 14:32:00,27,0.1201,0.9245,0.9608,0.9608,0.2885,0.1158,0.0784,0.9302,0.9639,0.9639,0.2565,0.1136,69.43
2025-10-13 14:33:09,28,0.1190,0.9246,0.9608,0.9608,0.2883,0.1164,0.0779,0.9305,0.9640,0.9640,0.2550,0.1109,69.73
2025-10-13 14:34:14,29,0.1202,0.9246,0.9608,0.9608,0.2865,0.1179,0.0770,0.9308,0.9642,0.9642,0.2547,0.1064,64.71
2025-10-13 14:35:21,30,0.1209,0.9245,0.9608,0.9608,0.2864,0.1186,0.0768,0.9311,0.9643,0.9643,0.2536,0.1070,66.60
