timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-10-13 17:11:22,1,0.1114,0.9256,0.9613,0.9613,0.3466,0.0763,0.1606,0.8993,0.9470,0.9470,0.3867,0.1084,254.11
2025-10-13 17:15:48,2,0.0997,0.9325,0.9651,0.9651,0.3062,0.0695,0.1037,0.9305,0.9640,0.9640,0.2908,0.0756,266.57
2025-10-13 17:20:31,3,0.0990,0.9333,0.9655,0.9655,0.3033,0.0727,0.0957,0.9353,0.9666,0.9666,0.2660,0.0717,283.00
2025-10-13 17:24:38,4,0.0899,0.9389,0.9685,0.9685,0.2579,0.0675,0.0920,0.9377,0.9679,0.9679,0.2545,0.0691,246.64
2025-10-13 17:28:24,5,0.0888,0.9394,0.9688,0.9688,0.2616,0.0649,0.0881,0.9401,0.9692,0.9692,0.2426,0.0680,226.58
2025-10-13 17:32:10,6,0.0928,0.9375,0.9678,0.9678,0.2883,0.0710,0.0870,0.9410,0.9696,0.9696,0.2397,0.0678,226.02
2025-10-13 17:35:57,7,0.1562,0.9230,0.9600,0.9600,0.3574,0.2818,0.0882,0.9406,0.9694,0.9694,0.2432,0.0684,227.03
2025-10-13 17:39:58,8,0.0867,0.9414,0.9698,0.9698,0.2535,0.0671,0.0862,0.9416,0.9699,0.9699,0.2375,0.0671,240.27
2025-10-13 17:43:44,9,0.0920,0.9396,0.9688,0.9688,0.2625,0.0890,0.0827,0.9435,0.9709,0.9709,0.2295,0.0635,226.77
2025-10-13 17:47:31,10,0.0891,0.9392,0.9687,0.9687,0.2671,0.0670,0.0819,0.9439,0.9711,0.9711,0.2281,0.0633,226.12
2025-10-13 17:51:16,11,0.0879,0.9412,0.9697,0.9697,0.2519,0.0705,0.0808,0.9445,0.9715,0.9715,0.2231,0.0619,224.94
2025-10-13 17:55:01,12,0.0877,0.9405,0.9693,0.9693,0.2430,0.0714,0.0843,0.9427,0.9705,0.9705,0.2330,0.0646,225.00
2025-10-13 17:58:46,13,0.0921,0.9408,0.9695,0.9695,0.2454,0.0710,0.0812,0.9443,0.9714,0.9714,0.2252,0.0603,225.23
2025-10-13 18:03:11,14,0.0934,0.9394,0.9688,0.9688,0.2554,0.0698,0.0808,0.9448,0.9716,0.9716,0.2238,0.0598,265.10
2025-10-13 18:07:14,15,0.0828,0.9437,0.9710,0.9710,0.2395,0.0614,0.0760,0.9473,0.9730,0.9730,0.2127,0.0555,242.67
2025-10-13 18:11:25,16,0.0848,0.9430,0.9707,0.9707,0.2427,0.0688,0.0754,0.9478,0.9732,0.9732,0.2125,0.0550,251.72
2025-10-13 18:15:26,17,0.0852,0.9432,0.9708,0.9708,0.2426,0.0935,0.0745,0.9480,0.9733,0.9733,0.2089,0.0548,240.79
2025-10-13 18:19:30,18,0.0838,0.9433,0.9708,0.9708,0.2374,0.0743,0.0742,0.9482,0.9734,0.9734,0.2098,0.0547,244.08
2025-10-13 18:23:50,19,0.0842,0.9433,0.9708,0.9708,0.2382,0.0828,0.0739,0.9483,0.9735,0.9735,0.2088,0.0545,259.52
2025-10-13 18:27:39,20,0.0884,0.9430,0.9706,0.9706,0.2363,0.0849,0.0734,0.9487,0.9737,0.9737,0.2072,0.0540,229.19
2025-10-13 18:31:51,21,0.0839,0.9430,0.9706,0.9706,0.2329,0.0691,0.0728,0.9490,0.9738,0.9738,0.2064,0.0535,252.10
2025-10-13 18:35:36,22,0.0854,0.9431,0.9707,0.9707,0.2350,0.0826,0.0719,0.9492,0.9740,0.9740,0.2048,0.0524,224.75
2025-10-13 18:39:21,23,0.0841,0.9433,0.9708,0.9708,0.2356,0.0880,0.0719,0.9493,0.9740,0.9740,0.2032,0.0526,225.41
2025-10-13 18:43:05,24,0.0882,0.9431,0.9707,0.9707,0.2354,0.0885,0.0722,0.9493,0.9740,0.9740,0.2056,0.0528,224.03
2025-10-13 18:46:52,25,0.0832,0.9439,0.9711,0.9711,0.2302,0.0742,0.0721,0.9492,0.9739,0.9739,0.2054,0.0528,227.27
2025-10-13 18:50:37,26,0.0848,0.9432,0.9708,0.9708,0.2326,0.0757,0.0718,0.9494,0.9740,0.9740,0.2033,0.0526,224.38
2025-10-13 18:54:22,27,0.0839,0.9435,0.9709,0.9709,0.2328,0.0777,0.0720,0.9493,0.9740,0.9740,0.2038,0.0528,225.03
2025-10-13 18:58:07,28,0.0844,0.9431,0.9707,0.9707,0.2350,0.0839,0.0715,0.9494,0.9741,0.9741,0.2029,0.0522,225.22
2025-10-13 19:01:51,29,0.0900,0.9425,0.9704,0.9704,0.2344,0.0850,0.0719,0.9494,0.9740,0.9740,0.2031,0.0528,224.43
2025-10-13 19:05:37,30,0.0834,0.9435,0.9709,0.9709,0.2332,0.0756,0.0717,0.9494,0.9741,0.9741,0.2038,0.0524,225.87
