timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-10-13 15:41:57,1,0.1403,0.9053,0.9503,0.9503,0.4155,0.1234,0.1572,0.8993,0.9470,0.9470,0.4067,0.1335,55.76
2025-10-13 15:42:53,2,0.1511,0.9052,0.9502,0.9502,0.4238,0.1155,0.1354,0.9042,0.9497,0.9497,0.3846,0.0986,55.41
2025-10-13 15:43:48,3,0.1402,0.9062,0.9508,0.9508,0.4066,0.1102,0.1297,0.9052,0.9502,0.9502,0.3748,0.0915,55.67
2025-10-13 15:44:46,4,0.1255,0.9064,0.9509,0.9509,0.3926,0.0860,0.1275,0.9055,0.9504,0.9504,0.3689,0.0878,57.92
2025-10-13 15:45:42,5,0.1444,0.9049,0.9501,0.9501,0.3708,0.0990,0.1250,0.9062,0.9508,0.9508,0.3646,0.0865,55.94
2025-10-13 15:46:38,6,0.1198,0.9082,0.9519,0.9519,0.3761,0.0784,0.1228,0.9070,0.9512,0.9512,0.3599,0.0844,55.25
2025-10-13 15:47:33,7,0.1227,0.9087,0.9522,0.9522,0.3756,0.0901,0.1208,0.9073,0.9514,0.9514,0.3548,0.0834,55.30
2025-10-13 15:48:29,8,0.1179,0.9101,0.9529,0.9529,0.3641,0.0774,0.1184,0.9084,0.9520,0.9520,0.3509,0.0825,55.72
2025-10-13 15:49:23,9,3.3350,0.9039,0.9495,0.9495,0.5126,4.7315,0.1163,0.9096,0.9526,0.9526,0.3461,0.0800,54.59
2025-10-13 15:50:18,10,0.1250,0.9083,0.9519,0.9519,0.3783,0.0931,0.1188,0.9091,0.9524,0.9524,0.3501,0.0854,54.83
2025-10-13 15:51:13,11,0.7579,0.9057,0.9505,0.9505,0.4454,0.7526,0.1177,0.9091,0.9524,0.9524,0.3479,0.0877,54.55
2025-10-13 15:52:07,12,0.1199,0.9083,0.9520,0.9520,0.3787,0.0864,0.1143,0.9105,0.9531,0.9531,0.3415,0.0848,54.43
2025-10-13 15:53:02,13,0.1397,0.9087,0.9522,0.9522,0.3873,0.1041,0.1131,0.9111,0.9535,0.9535,0.3386,0.0835,55.06
2025-10-13 15:53:56,14,0.1349,0.9109,0.9534,0.9534,0.3717,0.1063,0.1126,0.9116,0.9538,0.9538,0.3376,0.0843,54.35
2025-10-13 15:54:51,15,0.1128,0.9123,0.9541,0.9541,0.3513,0.0799,0.1094,0.9129,0.9545,0.9545,0.3334,0.0823,54.74
2025-10-13 15:55:46,16,0.1156,0.9124,0.9542,0.9542,0.3532,0.0834,0.1076,0.9134,0.9548,0.9548,0.3293,0.0805,54.33
2025-10-13 15:56:40,17,0.1196,0.9120,0.9540,0.9540,0.3610,0.0892,0.1069,0.9136,0.9549,0.9549,0.3275,0.0797,54.50
2025-10-13 15:57:34,18,0.1125,0.9128,0.9544,0.9544,0.3475,0.0799,0.1067,0.9138,0.9549,0.9549,0.3273,0.0800,53.71
2025-10-13 15:58:28,19,0.1128,0.9124,0.9542,0.9542,0.3525,0.0806,0.1062,0.9139,0.9550,0.9550,0.3260,0.0798,54.30
2025-10-13 15:59:23,20,0.1130,0.9128,0.9544,0.9544,0.3475,0.0806,0.1055,0.9141,0.9551,0.9551,0.3254,0.0789,55.17
2025-10-13 16:00:18,21,0.1129,0.9131,0.9546,0.9546,0.3431,0.0797,0.1049,0.9143,0.9553,0.9553,0.3231,0.0789,54.36
2025-10-13 16:01:11,22,0.1126,0.9131,0.9546,0.9546,0.3462,0.0814,0.1044,0.9145,0.9553,0.9553,0.3231,0.0789,53.86
2025-10-13 16:02:06,23,0.1140,0.9127,0.9543,0.9543,0.3480,0.0844,0.1037,0.9147,0.9555,0.9555,0.3209,0.0786,54.33
2025-10-13 16:03:00,24,0.1143,0.9131,0.9546,0.9546,0.3391,0.0839,0.1036,0.9147,0.9555,0.9555,0.3204,0.0786,54.28
2025-10-13 16:03:54,25,0.1145,0.9131,0.9546,0.9546,0.3475,0.0857,0.1031,0.9151,0.9557,0.9557,0.3180,0.0785,54.43
2025-10-13 16:04:48,26,0.1183,0.9128,0.9544,0.9544,0.3512,0.0925,0.1027,0.9150,0.9556,0.9556,0.3194,0.0781,53.90
2025-10-13 16:05:43,27,0.1128,0.9132,0.9546,0.9546,0.3452,0.0828,0.1023,0.9151,0.9557,0.9557,0.3184,0.0778,54.79
2025-10-13 16:06:38,28,0.1147,0.9132,0.9546,0.9546,0.3470,0.0881,0.1020,0.9153,0.9558,0.9558,0.3173,0.0776,54.67
2025-10-13 16:07:32,29,0.1121,0.9133,0.9547,0.9547,0.3420,0.0826,0.1018,0.9152,0.9557,0.9557,0.3179,0.0776,54.52
2025-10-13 16:08:29,30,0.1174,0.9133,0.9547,0.9547,0.3479,0.0912,0.1018,0.9152,0.9557,0.9557,0.3178,0.0777,56.69
