timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-10-20 14:30:16,1,0.1464,0.9040,0.9496,0.9496,0.4307,0.1070,0.2176,0.8795,0.9359,0.9359,0.4608,0.1761,131.46
2025-10-20 14:32:28,2,0.1346,0.9059,0.9506,0.9506,0.4059,0.1024,0.1408,0.9035,0.9493,0.9493,0.4003,0.1099,131.37
2025-10-20 14:34:40,3,0.1359,0.9064,0.9509,0.9509,0.3920,0.1160,0.1308,0.9062,0.9508,0.9508,0.3767,0.1010,132.04
2025-10-20 14:36:51,4,0.1208,0.9121,0.9540,0.9540,0.3715,0.0870,0.1226,0.9096,0.9527,0.9527,0.3589,0.0883,131.52
2025-10-20 14:39:00,5,0.1235,0.9147,0.9555,0.9555,0.3696,0.0834,0.1168,0.9134,0.9547,0.9547,0.3425,0.0870,128.63
2025-10-20 14:41:08,6,0.1130,0.9175,0.9570,0.9570,0.3496,0.0786,0.1137,0.9156,0.9560,0.9560,0.3344,0.0821,127.80
2025-10-20 14:43:30,7,0.1146,0.9143,0.9552,0.9552,0.3522,0.0830,0.1087,0.9181,0.9573,0.9573,0.3228,0.0794,142.86
2025-10-20 14:45:41,8,0.1153,0.9181,0.9573,0.9573,0.3654,0.0734,0.1072,0.9192,0.9579,0.9579,0.3162,0.0727,130.34
2025-10-20 14:47:52,9,0.1086,0.9210,0.9589,0.9589,0.3193,0.0774,0.1040,0.9205,0.9586,0.9586,0.3117,0.0708,130.88
2025-10-20 14:50:02,10,0.1070,0.9220,0.9594,0.9594,0.3257,0.0705,0.1006,0.9223,0.9596,0.9596,0.3026,0.0676,129.94
2025-10-20 14:52:12,11,0.1076,0.9189,0.9577,0.9577,0.3392,0.0717,0.0999,0.9228,0.9599,0.9599,0.3002,0.0661,130.66
2025-10-20 14:54:23,12,0.1085,0.9210,0.9589,0.9589,0.3146,0.0759,0.0981,0.9236,0.9603,0.9603,0.2966,0.0646,130.49
2025-10-20 14:56:33,13,0.1039,0.9235,0.9603,0.9603,0.3124,0.0697,0.0969,0.9244,0.9607,0.9607,0.2939,0.0633,129.95
2025-10-20 14:58:44,14,0.1063,0.9231,0.9600,0.9600,0.3140,0.0707,0.0943,0.9258,0.9614,0.9614,0.2878,0.0613,131.00
2025-10-20 15:00:53,15,0.1130,0.9214,0.9591,0.9591,0.3360,0.0719,0.0942,0.9255,0.9613,0.9613,0.2880,0.0615,129.21
2025-10-20 15:03:02,16,0.1120,0.9226,0.9597,0.9597,0.3212,0.0727,0.0917,0.9270,0.9621,0.9621,0.2816,0.0594,129.39
2025-10-20 15:05:12,17,0.1087,0.9233,0.9601,0.9601,0.3171,0.0703,0.0934,0.9262,0.9617,0.9617,0.2850,0.0603,129.43
2025-10-20 15:07:22,18,0.1089,0.9242,0.9606,0.9606,0.3005,0.0786,0.0908,0.9278,0.9626,0.9626,0.2781,0.0591,129.79
2025-10-20 15:09:32,19,0.1040,0.9254,0.9613,0.9613,0.2995,0.0734,0.0894,0.9284,0.9628,0.9628,0.2759,0.0583,130.19
2025-10-20 15:11:42,20,0.1026,0.9271,0.9622,0.9622,0.2911,0.0720,0.0842,0.9310,0.9643,0.9643,0.2656,0.0540,130.07
2025-10-20 15:13:58,21,0.1031,0.9265,0.9618,0.9618,0.2964,0.0723,0.0822,0.9319,0.9647,0.9647,0.2610,0.0528,135.97
2025-10-20 15:16:07,22,0.1034,0.9271,0.9622,0.9622,0.2892,0.0731,0.0814,0.9323,0.9650,0.9650,0.2592,0.0523,129.36
2025-10-20 15:18:17,23,0.1039,0.9271,0.9622,0.9622,0.2890,0.0737,0.0805,0.9326,0.9651,0.9651,0.2580,0.0517,129.97
2025-10-20 15:20:28,24,0.1041,0.9270,0.9621,0.9621,0.2901,0.0747,0.0798,0.9330,0.9653,0.9653,0.2554,0.0513,130.57
2025-10-20 15:22:38,25,0.1047,0.9272,0.9622,0.9622,0.2893,0.0742,0.0793,0.9333,0.9655,0.9655,0.2529,0.0510,130.58
2025-10-20 15:24:48,26,0.1050,0.9272,0.9622,0.9622,0.2897,0.0753,0.0788,0.9334,0.9656,0.9656,0.2525,0.0506,129.82
2025-10-20 15:26:58,27,0.1066,0.9274,0.9623,0.9623,0.2830,0.0783,0.0777,0.9340,0.9659,0.9659,0.2511,0.0498,130.25
2025-10-20 15:29:07,28,0.1063,0.9272,0.9622,0.9622,0.2859,0.0781,0.0777,0.9341,0.9659,0.9659,0.2507,0.0499,128.93
2025-10-20 15:31:24,29,0.1063,0.9272,0.9622,0.9622,0.2867,0.0776,0.0773,0.9342,0.9660,0.9660,0.2500,0.0496,137.06
2025-10-20 15:34:41,30,0.1072,0.9273,0.9623,0.9623,0.2840,0.0792,0.0773,0.9343,0.9660,0.9660,0.2493,0.0497,196.30
