timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-10-16 15:42:07,1,0.2652,0.8092,0.8945,0.8945,0.3535,0.1619,0.3801,0.7551,0.8605,0.8496,0.4750,0.2273,299.09
2025-10-16 15:43:33,2,0.1470,0.8817,0.9372,0.9372,0.1990,0.0842,0.1768,0.8634,0.9267,0.9150,0.2791,0.0977,86.34
2025-10-16 15:44:59,3,0.1199,0.9057,0.9505,0.9505,0.1737,0.0699,0.1220,0.9027,0.9489,0.9369,0.1962,0.0664,85.49
2025-10-16 15:46:24,4,0.1036,0.9157,0.9560,0.9560,0.1568,0.0582,0.1050,0.9152,0.9557,0.9436,0.1716,0.0575,85.42
2025-10-16 15:47:50,5,0.0957,0.9234,0.9602,0.9602,0.1567,0.0532,0.0954,0.9227,0.9598,0.9476,0.1558,0.0520,85.52
2025-10-16 15:49:15,6,0.0952,0.9236,0.9603,0.9603,0.1525,0.0562,0.0853,0.9309,0.9642,0.9520,0.1395,0.0462,85.42
2025-10-16 15:50:40,7,0.0939,0.9232,0.9601,0.9601,0.1336,0.0545,0.0799,0.9350,0.9664,0.9542,0.1312,0.0436,85.23
2025-10-16 15:52:06,8,0.0865,0.9298,0.9636,0.9636,0.1263,0.0502,0.0766,0.9373,0.9676,0.9554,0.1250,0.0416,85.43
2025-10-16 15:53:31,9,0.0846,0.9320,0.9648,0.9648,0.1263,0.0496,0.0750,0.9387,0.9684,0.9561,0.1222,0.0411,85.45
2025-10-16 15:54:57,10,0.0865,0.9311,0.9643,0.9643,0.1216,0.0524,0.0721,0.9414,0.9698,0.9575,0.1180,0.0394,85.32
2025-10-16 15:56:22,11,0.0920,0.9304,0.9639,0.9639,0.1305,0.0582,0.0671,0.9453,0.9719,0.9596,0.1095,0.0366,85.36
2025-10-16 15:57:47,12,0.0783,0.9373,0.9676,0.9676,0.1156,0.0464,0.0653,0.9466,0.9726,0.9603,0.1066,0.0357,85.48
2025-10-16 15:59:13,13,0.0846,0.9312,0.9644,0.9644,0.1130,0.0518,0.0631,0.9483,0.9735,0.9612,0.1028,0.0345,85.41
2025-10-16 16:00:38,14,0.0983,0.9286,0.9630,0.9630,0.1304,0.0653,0.0621,0.9495,0.9741,0.9618,0.1010,0.0341,85.25
2025-10-16 16:02:03,15,0.0988,0.9283,0.9628,0.9628,0.1318,0.0655,0.0624,0.9486,0.9736,0.9613,0.0995,0.0347,85.27
2025-10-16 16:03:29,16,0.0816,0.9380,0.9680,0.9680,0.1140,0.0515,0.0597,0.9514,0.9751,0.9627,0.0973,0.0326,85.40
2025-10-16 16:04:54,17,0.0837,0.9357,0.9668,0.9668,0.1142,0.0532,0.0579,0.9527,0.9758,0.9634,0.0932,0.0321,85.31
2025-10-16 16:06:20,18,0.0804,0.9385,0.9683,0.9683,0.1051,0.0516,0.0569,0.9534,0.9761,0.9638,0.0923,0.0313,85.64
2025-10-16 16:07:45,19,0.0760,0.9424,0.9703,0.9703,0.1061,0.0477,0.0526,0.9576,0.9784,0.9660,0.0870,0.0285,85.49
2025-10-16 16:09:10,20,0.0772,0.9416,0.9699,0.9699,0.1067,0.0490,0.0507,0.9596,0.9794,0.9670,0.0851,0.0271,85.24
2025-10-16 16:10:36,21,0.0742,0.9434,0.9709,0.9709,0.1024,0.0465,0.0507,0.9598,0.9795,0.9671,0.0851,0.0274,85.50
2025-10-16 16:12:01,22,0.0761,0.9425,0.9704,0.9704,0.1038,0.0483,0.0504,0.9599,0.9795,0.9671,0.0841,0.0271,85.39
2025-10-16 16:13:27,23,0.0759,0.9427,0.9705,0.9705,0.1028,0.0483,0.0495,0.9606,0.9799,0.9675,0.0829,0.0266,85.25
2025-10-16 16:14:52,24,0.0768,0.9423,0.9703,0.9703,0.1040,0.0490,0.0487,0.9613,0.9803,0.9679,0.0819,0.0261,85.40
2025-10-16 16:16:17,25,0.0773,0.9423,0.9703,0.9703,0.1027,0.0498,0.0488,0.9610,0.9801,0.9677,0.0817,0.0262,85.27
2025-10-16 16:17:43,26,0.0770,0.9426,0.9705,0.9705,0.1011,0.0498,0.0481,0.9618,0.9805,0.9681,0.0804,0.0258,85.37
2025-10-16 16:19:08,27,0.0762,0.9427,0.9705,0.9705,0.1015,0.0489,0.0475,0.9622,0.9807,0.9683,0.0801,0.0255,85.27
2025-10-16 16:20:33,28,0.0778,0.9422,0.9702,0.9702,0.1032,0.0503,0.0482,0.9614,0.9803,0.9679,0.0801,0.0260,85.49
2025-10-16 16:21:59,29,0.0765,0.9429,0.9706,0.9706,0.1010,0.0493,0.0472,0.9626,0.9810,0.9685,0.0793,0.0253,85.32
2025-10-16 16:23:24,30,0.0784,0.9421,0.9702,0.9702,0.1024,0.0510,0.0468,0.9630,0.9812,0.9687,0.0787,0.0249,85.53
