timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-10-10 15:55:52,1,0.1050,0.9261,0.9616,0.9616,0.1608,0.0782,0.2410,0.8486,0.9181,0.9065,0.2935,0.1711,108.42
2025-10-10 15:57:44,2,0.0894,0.9307,0.9641,0.9641,0.1381,0.0616,0.0883,0.9372,0.9676,0.9554,0.1355,0.0609,112.04
2025-10-10 15:59:42,3,0.0762,0.9415,0.9699,0.9699,0.1133,0.0564,0.0734,0.9450,0.9717,0.9594,0.1131,0.0482,117.43
2025-10-10 16:01:36,4,0.0720,0.9427,0.9705,0.9705,0.1078,0.0488,0.0653,0.9502,0.9745,0.9621,0.0980,0.0426,113.73
2025-10-10 16:03:29,5,0.0756,0.9383,0.9682,0.9682,0.1099,0.0516,0.0598,0.9535,0.9762,0.9639,0.0906,0.0383,112.91
2025-10-10 16:05:25,6,0.0682,0.9455,0.9720,0.9720,0.0941,0.0466,0.0552,0.9564,0.9777,0.9653,0.0846,0.0345,116.67
2025-10-10 16:07:19,7,0.0613,0.9497,0.9742,0.9742,0.0872,0.0401,0.0522,0.9586,0.9789,0.9665,0.0789,0.0326,113.87
2025-10-10 16:09:15,8,0.0672,0.9449,0.9717,0.9717,0.0954,0.0440,0.0543,0.9568,0.9779,0.9655,0.0807,0.0337,115.85
2025-10-10 16:11:09,9,0.0640,0.9480,0.9733,0.9733,0.0895,0.0426,0.0525,0.9577,0.9784,0.9660,0.0804,0.0321,113.66
2025-10-10 16:13:04,10,0.0673,0.9462,0.9724,0.9724,0.0917,0.0452,0.0484,0.9609,0.9801,0.9677,0.0733,0.0295,115.29
2025-10-10 16:14:58,11,0.0681,0.9464,0.9724,0.9724,0.0886,0.0463,0.0456,0.9628,0.9811,0.9687,0.0698,0.0277,114.16
2025-10-10 16:16:52,12,0.0662,0.9469,0.9727,0.9727,0.0887,0.0444,0.0460,0.9628,0.9810,0.9686,0.0694,0.0279,114.13
2025-10-10 16:18:47,13,0.0572,0.9545,0.9767,0.9767,0.0771,0.0379,0.0439,0.9643,0.9818,0.9694,0.0659,0.0267,115.07
2025-10-10 16:20:41,14,0.0688,0.9459,0.9722,0.9722,0.0895,0.0451,0.0500,0.9601,0.9796,0.9672,0.0733,0.0309,113.68
2025-10-10 16:22:36,15,0.0558,0.9543,0.9766,0.9766,0.0780,0.0362,0.0471,0.9618,0.9805,0.9681,0.0711,0.0286,114.73
2025-10-10 16:24:30,16,0.0587,0.9526,0.9757,0.9757,0.0800,0.0392,0.0434,0.9644,0.9819,0.9694,0.0654,0.0263,113.90
2025-10-10 16:26:25,17,0.0571,0.9541,0.9765,0.9765,0.0762,0.0379,0.0421,0.9654,0.9824,0.9699,0.0649,0.0252,115.51
2025-10-10 16:28:28,18,0.0549,0.9556,0.9773,0.9773,0.0747,0.0360,0.0400,0.9670,0.9832,0.9708,0.0602,0.0240,123.21
2025-10-10 16:30:31,19,0.0645,0.9496,0.9741,0.9741,0.0794,0.0446,0.0389,0.9678,0.9836,0.9712,0.0596,0.0231,122.60
2025-10-10 16:32:26,20,0.0552,0.9551,0.9770,0.9770,0.0730,0.0363,0.0396,0.9672,0.9833,0.9709,0.0600,0.0237,114.89
2025-10-10 16:34:24,21,0.0631,0.9536,0.9762,0.9762,0.0743,0.0447,0.0376,0.9689,0.9842,0.9717,0.0578,0.0223,118.49
2025-10-10 16:36:14,22,0.0667,0.9491,0.9739,0.9739,0.0801,0.0469,0.0378,0.9684,0.9839,0.9715,0.0575,0.0226,109.84
2025-10-10 16:38:04,23,0.0648,0.9523,0.9756,0.9756,0.0743,0.0459,0.0373,0.9690,0.9843,0.9718,0.0573,0.0223,110.13
2025-10-10 16:39:55,24,0.0592,0.9555,0.9773,0.9773,0.0719,0.0411,0.0359,0.9703,0.9849,0.9725,0.0545,0.0214,110.55
2025-10-10 16:41:46,25,0.0569,0.9570,0.9780,0.9780,0.0683,0.0395,0.0330,0.9725,0.9861,0.9736,0.0518,0.0194,111.05
2025-10-10 16:43:36,26,0.0591,0.9562,0.9776,0.9776,0.0688,0.0416,0.0317,0.9736,0.9866,0.9741,0.0500,0.0185,109.78
2025-10-10 16:45:26,27,0.0591,0.9559,0.9775,0.9775,0.0691,0.0416,0.0320,0.9734,0.9865,0.9740,0.0497,0.0188,110.56
2025-10-10 16:47:16,28,0.0592,0.9561,0.9776,0.9776,0.0684,0.0418,0.0314,0.9739,0.9868,0.9743,0.0491,0.0185,109.82
2025-10-10 16:49:06,29,0.0606,0.9555,0.9772,0.9772,0.0686,0.0431,0.0312,0.9740,0.9868,0.9743,0.0483,0.0183,109.86
2025-10-10 16:50:56,30,0.0593,0.9562,0.9776,0.9776,0.0677,0.0421,0.0310,0.9741,0.9869,0.9744,0.0481,0.0184,110.36
