timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-10-11 21:57:04,1,0.1886,0.8770,0.9345,0.9345,0.2572,0.2249,0.2826,0.8104,0.8952,0.8839,0.3173,0.3343,10.20
2025-10-11 21:57:14,2,0.1275,0.9053,0.9503,0.9503,0.2040,0.1244,0.1403,0.8964,0.9454,0.9334,0.2071,0.1615,10.08
2025-10-11 21:57:24,3,0.1171,0.9086,0.9521,0.9521,0.1874,0.1206,0.1214,0.9090,0.9523,0.9403,0.1860,0.1420,9.76
2025-10-11 21:57:33,4,0.1255,0.9090,0.9523,0.9523,0.1835,0.1839,0.1121,0.9144,0.9553,0.9432,0.1722,0.1324,9.83
2025-10-11 21:57:43,5,0.1089,0.9152,0.9557,0.9557,0.1690,0.1334,0.1072,0.9183,0.9574,0.9453,0.1626,0.1229,10.07
2025-10-11 21:57:53,6,0.1091,0.9116,0.9537,0.9537,0.1699,0.1190,0.0970,0.9251,0.9611,0.9489,0.1524,0.1156,9.67
2025-10-11 21:58:03,7,0.0999,0.9200,0.9583,0.9583,0.1581,0.1056,0.0935,0.9274,0.9624,0.9502,0.1451,0.1104,9.78
2025-10-11 21:58:13,8,0.1037,0.9166,0.9565,0.9565,0.1605,0.1011,0.0916,0.9283,0.9628,0.9506,0.1426,0.1038,10.48
2025-10-11 21:58:23,9,0.0942,0.9275,0.9624,0.9624,0.1434,0.1005,0.0879,0.9309,0.9642,0.9520,0.1368,0.0997,9.76
2025-10-11 21:58:33,10,0.0903,0.9296,0.9635,0.9635,0.1355,0.1012,0.0848,0.9333,0.9655,0.9533,0.1327,0.1008,9.75
2025-10-11 21:58:43,11,0.0989,0.9221,0.9595,0.9595,0.1508,0.1173,0.0831,0.9343,0.9660,0.9538,0.1293,0.1008,9.72
2025-10-11 21:58:52,12,0.0898,0.9288,0.9631,0.9631,0.1390,0.1059,0.0813,0.9357,0.9668,0.9545,0.1255,0.0997,9.74
2025-10-11 21:59:02,13,0.0913,0.9285,0.9629,0.9629,0.1419,0.1096,0.0780,0.9383,0.9682,0.9559,0.1227,0.1004,9.68
2025-10-11 21:59:12,14,0.0902,0.9279,0.9626,0.9626,0.1362,0.1095,0.0766,0.9392,0.9687,0.9564,0.1204,0.0992,9.75
2025-10-11 21:59:22,15,0.0828,0.9336,0.9656,0.9656,0.1258,0.0962,0.0745,0.9404,0.9693,0.9570,0.1166,0.0923,10.01
2025-10-11 21:59:31,16,0.0946,0.9230,0.9600,0.9600,0.1457,0.1243,0.0754,0.9403,0.9692,0.9569,0.1159,0.0954,9.66
2025-10-11 21:59:41,17,0.0789,0.9369,0.9674,0.9674,0.1221,0.1105,0.0693,0.9446,0.9715,0.9592,0.1100,0.0880,9.81
2025-10-11 21:59:51,18,0.0810,0.9355,0.9667,0.9667,0.1150,0.0995,0.0683,0.9454,0.9719,0.9596,0.1076,0.0873,9.76
2025-10-11 22:00:01,19,0.0845,0.9322,0.9649,0.9649,0.1273,0.1022,0.0669,0.9461,0.9723,0.9600,0.1053,0.0844,9.80
2025-10-11 22:00:11,20,0.0799,0.9355,0.9667,0.9667,0.1200,0.1009,0.0645,0.9478,0.9732,0.9609,0.1027,0.0878,9.82
2025-10-11 22:00:21,21,0.0783,0.9375,0.9677,0.9677,0.1167,0.1116,0.0649,0.9478,0.9732,0.9609,0.1028,0.0851,9.92
2025-10-11 22:00:31,22,0.0840,0.9330,0.9654,0.9654,0.1205,0.0993,0.0634,0.9489,0.9738,0.9615,0.0999,0.0803,10.10
2025-10-11 22:00:41,23,0.0749,0.9398,0.9690,0.9690,0.1103,0.0892,0.0592,0.9523,0.9756,0.9632,0.0955,0.0765,9.83
2025-10-11 22:00:50,24,0.0746,0.9400,0.9691,0.9691,0.1107,0.0862,0.0584,0.9527,0.9758,0.9634,0.0934,0.0770,9.84
2025-10-11 22:01:00,25,0.0782,0.9375,0.9677,0.9677,0.1131,0.0913,0.0573,0.9536,0.9762,0.9639,0.0916,0.0740,9.78
2025-10-11 22:01:10,26,0.0780,0.9382,0.9681,0.9681,0.1121,0.1029,0.0582,0.9529,0.9759,0.9635,0.0922,0.0762,9.81
2025-10-11 22:01:20,27,0.0765,0.9392,0.9687,0.9687,0.1062,0.0895,0.0564,0.9541,0.9765,0.9641,0.0898,0.0733,9.77
2025-10-11 22:01:30,28,0.0842,0.9335,0.9656,0.9656,0.1196,0.1087,0.0571,0.9533,0.9761,0.9637,0.0887,0.0738,9.89
2025-10-11 22:01:40,29,0.0829,0.9346,0.9662,0.9662,0.1144,0.0988,0.0555,0.9549,0.9769,0.9645,0.0871,0.0707,10.09
2025-10-11 22:01:49,30,0.1080,0.9205,0.9586,0.9586,0.1444,0.1171,0.0545,0.9555,0.9773,0.9649,0.0867,0.0714,9.75
