timestamp,epoch,val_loss,val_iou,val_f1,val_accuracy,val_dice_loss,val_focal_loss,train_loss,train_iou,train_f1,train_accuracy,train_dice_loss,train_focal_loss,epoch_time_s
2025-10-11 20:50:38,1,0.1816,0.8611,0.9253,0.9253,0.2609,0.1405,0.2507,0.8275,0.9056,0.8941,0.2869,0.2063,10.33
2025-10-11 20:50:48,2,0.1515,0.8773,0.9346,0.9346,0.2321,0.1099,0.1460,0.8794,0.9358,0.9240,0.2105,0.1107,10.33
2025-10-11 20:50:59,3,0.1249,0.8936,0.9438,0.9438,0.1986,0.0892,0.1234,0.8948,0.9445,0.9325,0.1893,0.0948,10.59
2025-10-11 20:51:09,4,0.1122,0.9034,0.9493,0.9493,0.1766,0.0817,0.1015,0.9147,0.9554,0.9433,0.1611,0.0785,10.59
2025-10-11 20:51:20,5,0.1104,0.9054,0.9504,0.9504,0.1769,0.0907,0.0883,0.9262,0.9617,0.9495,0.1390,0.0671,10.57
2025-10-11 20:51:31,6,0.0885,0.9260,0.9616,0.9616,0.1380,0.0771,0.0822,0.9310,0.9643,0.9521,0.1294,0.0619,10.61
2025-10-11 20:51:41,7,0.0959,0.9193,0.9580,0.9580,0.1500,0.0659,0.0762,0.9359,0.9669,0.9547,0.1199,0.0564,10.38
2025-10-11 20:51:51,8,0.0868,0.9301,0.9638,0.9638,0.1265,0.0634,0.0715,0.9400,0.9691,0.9568,0.1138,0.0515,10.42
2025-10-11 20:52:02,9,0.0809,0.9343,0.9660,0.9660,0.1190,0.0549,0.0683,0.9425,0.9704,0.9581,0.1096,0.0497,10.40
2025-10-11 20:52:13,10,0.0765,0.9379,0.9679,0.9679,0.1161,0.0536,0.0664,0.9438,0.9711,0.9588,0.1051,0.0471,10.95
2025-10-11 20:52:23,11,0.0816,0.9349,0.9663,0.9663,0.1169,0.0601,0.0633,0.9468,0.9727,0.9603,0.1007,0.0447,10.39
2025-10-11 20:52:33,12,0.0835,0.9335,0.9656,0.9656,0.1207,0.0607,0.0629,0.9466,0.9726,0.9603,0.0996,0.0442,10.33
2025-10-11 20:52:44,13,0.0830,0.9333,0.9655,0.9655,0.1180,0.0615,0.0598,0.9498,0.9743,0.9619,0.0955,0.0421,10.31
2025-10-11 20:52:54,14,0.1413,0.9028,0.9489,0.9489,0.1699,0.1099,0.0580,0.9513,0.9751,0.9627,0.0930,0.0408,10.34
2025-10-11 20:53:04,15,0.0744,0.9408,0.9695,0.9695,0.1019,0.0523,0.0564,0.9527,0.9758,0.9634,0.0904,0.0397,10.32
2025-10-11 20:53:15,16,0.0732,0.9426,0.9705,0.9705,0.1024,0.0519,0.0556,0.9532,0.9761,0.9637,0.0895,0.0385,10.76
2025-10-11 20:53:25,17,0.0740,0.9419,0.9701,0.9701,0.0978,0.0536,0.0543,0.9543,0.9766,0.9642,0.0867,0.0383,10.36
2025-10-11 20:53:36,18,0.0793,0.9397,0.9689,0.9689,0.1056,0.0554,0.0546,0.9536,0.9763,0.9639,0.0864,0.0382,10.39
2025-10-11 20:53:46,19,0.0791,0.9396,0.9689,0.9689,0.1096,0.0582,0.0541,0.9544,0.9767,0.9643,0.0845,0.0382,10.33
2025-10-11 20:53:57,20,0.0892,0.9372,0.9676,0.9676,0.1069,0.0696,0.0541,0.9542,0.9766,0.9642,0.0871,0.0373,10.32
2025-10-11 20:54:07,21,0.0831,0.9360,0.9669,0.9669,0.1099,0.0630,0.0531,0.9554,0.9772,0.9648,0.0838,0.0366,10.40
2025-10-11 20:54:18,22,0.0739,0.9435,0.9709,0.9709,0.0972,0.0512,0.0512,0.9568,0.9779,0.9655,0.0825,0.0350,10.59
2025-10-11 20:54:28,23,0.0748,0.9438,0.9711,0.9711,0.0983,0.0535,0.0478,0.9600,0.9796,0.9672,0.0785,0.0322,10.64
2025-10-11 20:54:38,24,0.0746,0.9441,0.9712,0.9712,0.0977,0.0536,0.0468,0.9614,0.9803,0.9679,0.0772,0.0318,10.31
2025-10-11 20:54:49,25,0.0764,0.9427,0.9705,0.9705,0.1000,0.0547,0.0461,0.9619,0.9806,0.9682,0.0760,0.0308,10.30
2025-10-11 20:54:59,26,0.0748,0.9442,0.9713,0.9713,0.0969,0.0539,0.0459,0.9619,0.9806,0.9682,0.0754,0.0313,10.36
2025-10-11 20:55:09,27,0.0762,0.9433,0.9708,0.9708,0.0983,0.0551,0.0459,0.9620,0.9806,0.9682,0.0752,0.0312,10.25
2025-10-11 20:55:20,28,0.0760,0.9434,0.9709,0.9709,0.0977,0.0553,0.0453,0.9626,0.9809,0.9685,0.0747,0.0314,10.23
2025-10-11 20:55:30,29,0.0758,0.9436,0.9710,0.9710,0.0976,0.0552,0.0450,0.9628,0.9811,0.9686,0.0744,0.0307,10.60
2025-10-11 20:55:40,30,0.0758,0.9436,0.9710,0.9710,0.0971,0.0551,0.0453,0.9625,0.9809,0.9685,0.0742,0.0309,10.25
